# Object VO photometry
#
#          FilterID    Wavelength               Obs.Flux        Obs.Error                   Flux            Error    Point Props      Service               RA (VO)              DEC (VO)               dis (VO)    Obj.Name (VO)    Obs.Date (VO)    Obs.Qua (VO)           Cat.field    dis_2 (VO)    Nobjs 
#             (---)           (A)          (erg/s/cm2/A)    (erg/s/cm2/A)          (erg/s/cm2/A)    (erg/s/cm2/A)          (---)        (---)                 (deg)                 (deg)                  (deg)            (---)            (---)           (---)               (---)         (deg)    (---) 
#=============================================================================================================================================================================================================================================================================================================
       GAIA/GAIA2.G          6230    8.1849024357328E-14                0    9.5082862693534E-14                0            ---      gaia2.G    132.84901200565852    11.830359755856616    0.00018835144509232              ---              ---             ---     phot_g_mean_mag           ---        1 
     GAIA/GAIA2.Gbp          5050    8.5795506967966E-14                0    1.0277571321066E-13                0            ---    gaia2.Gbp    132.84901200565852    11.830359755856616    0.00018835144509232              ---              ---             ---    phot_bp_mean_mag           ---        1 
     GAIA/GAIA2.Grp          7730    7.3093421098028E-14                0    8.1189682312996E-14                0            ---    gaia2.Grp    132.84901200565852    11.830359755856616    0.00018835144509232              ---              ---             ---    phot_rp_mean_mag           ---        1 
