# Object photometry (observed + model)
#
# Object = WOCS2002 
# RA = 132.8492 deg
# DEC = 11.8304 deg
# Av = 0.1736+-0.017 
# D (pc) = 831.76 pc
# Model = Kurucz ODFNEW /NOVER, alpha: 0.0 (2003) 
# Teff = 5250 K
# logg = 3.5 
# Meta. = 0 
# Chi2 = 32.427457555472 
# Md = 2.0800999883189E-20 
# Ftot = 8.7760943693721E-10 erg/cm2/s
# Ferr = 2.6691814560457E-12 erg/cm2/s
# Fobs/Ftot = 0.675530217396 
# Nfit = 14 
# e_Teff = 125 K
# e_logg = 0.25 
# e_Meta. = 0.175 
# Teff_min = 5125 K
# Teff_max = 5375 K
# logg_min = 3.25 
# logg_max = 3.75 
# Meta_min = -0.25 
# Meta_max = 0.1 
# Vgf = 28.673153579449 
# Vgfb = 4.0842344951663 
# Rad1 = 5.3207375058631 
# eRad1 = 0.070366587194015 
# Rad2 = 5.2656973644794 
# eRad2 = 0.26249428902931 
# M1 = 3.2649462838662 
# eM1 = 1.8814371053663 
# M2 = 3.1977474644026 
# eM2 = 1.8681761422935 
# Lbol = 18.977660908512 Lsun
# Lberr = 0.55967703743353 Lsun
#
#               FilterID         Wavelength               Obs.Flux              Obs.Error                   Flux                  Error                FluxMod    Fitted    Excess    FitExc    UpLim 
#                  (---)                (A)          (erg/s/cm2/A)          (erg/s/cm2/A)          (erg/s/cm2/A)          (erg/s/cm2/A)          (erg/s/cm2/A)     (---)     (---)     (---)    (---) 
#=====================================================================================================================================================================================================
     Astrosat/UVIT.F148W               1481    1.6639235669657E-15    8.8886753947301E-17    2.5480704892078E-15    1.3611785968487E-16    2.7150872953108E-19         0         1       ---      --- 
     Astrosat/UVIT.F154W               1541    1.5058790675173E-15    9.0152782010644E-17    2.2857305013384E-15    1.3684031345357E-16    3.2597915545636E-19         0         1       ---      --- 
     Astrosat/UVIT.F169M               1608    1.5678044129719E-15    8.3752071224914E-17    2.3607822633454E-15    1.2611292749931E-16    4.2008147849967E-19         0         1       ---      --- 
         GALEX/GALEX.NUV    2303.3663681246    2.0872134345525E-15    5.4936896918568E-17    3.2967019367178E-15    8.6771468346523E-17    1.6578948075791E-15         0         1       ---      --- 
           KPNO/Mosaic.B    4357.2765381407    7.5451428332841E-14    4.9687733559552E-15      9.30940707988E-14     6.130610762489E-15    8.7434515946817E-14         1         0       ---      --- 
          GAIA/GAIA3.Gbp    5035.7502754443    8.6204270181304E-14    3.2528978345295E-16    1.0285747647383E-13    3.8813026522141E-16    1.0176130398337E-13         1         0       ---      --- 
           KPNO/Mosaic.V    5366.2407861025    9.1567532371216E-14      6.03008220215E-15    1.0793754563906E-13    7.1081119698981E-15    1.1095749248259E-13         1         0       ---      --- 
            GAIA/GAIA3.G    5822.3887136979    7.9826967920885E-14    2.2093768039696E-16    9.1742163787558E-14    2.5391545476097E-16    9.1319727202994E-14         1         0       ---      --- 
          GAIA/GAIA3.Grp    7619.9599926215    7.1166576027946E-14     2.849321084051E-16    7.8787335042763E-14    3.1544360769216E-16    7.9088589679372E-14         1         0       ---      --- 
           KPNO/Mosaic.I    8101.6095736941    4.0689553757092E-14    2.6795671737594E-15    4.4707969815031E-14    2.9441956782557E-15    7.4291592589335E-14         1         0       ---      --- 
         GAIA/GAIA3.Grvs    8578.1595190347    6.3240984378452E-14     5.098368589338E-16    6.8962797794359E-14    5.5596503685579E-16    6.6145366057911E-14         1         0       ---      --- 
           2MASS/2MASS.J              12350    3.4403732572655E-14    6.9711419153331E-16    3.6124863966006E-14    7.3198904464015E-16    3.5222262132801E-14         1         0       ---      --- 
           2MASS/2MASS.H              16620    1.8257020779708E-14     3.363067511187E-16    1.8827784756659E-14    3.4682061211826E-16    1.9189285318834E-14         1         0       ---      --- 
          2MASS/2MASS.Ks              21590     7.672697467123E-15    1.2720267943812E-16    7.8275188425919E-15    1.2976940305499E-16    7.5625434335435E-15         1         0       ---      --- 
            WISE/WISE.W1              33526    1.5285662920146E-15    2.9565093244227E-17    1.5460870178224E-15     2.990397412556E-17    1.4801826282452E-15         1         0       ---      --- 
            WISE/WISE.W2              46028    4.2787521964626E-16    7.0935775374171E-18    4.3133076836181E-16    7.1508657411329E-18    4.1830263965756E-16         1         0       ---      --- 
            WISE/WISE.W3             115608    1.2232665102129E-17    4.2813463513863E-19    1.2303613869252E-17    4.3061779185648E-19    1.2037414322131E-17         1         0       ---      --- 
            WISE/WISE.W4             220883    2.3984259507761E-18    1.5794578344994E-19    2.4058730395556E-18    1.5843620354039E-19    9.1954747700718E-19         1         0       ---        1 
