cycle,name,Teff_A_K,sf_A,logg_A,R_A_rsun,L_A_lsun,Teff_B_K,sf_B,logg_B,R_B_rsun,L_B_lsun,Z_B,e_R_B_rsun,e_L_B_lsun,chi2,chi2_r,model,N_points,N_Np
1,WOCS2002, 5250.0, 2.10594050384e-20, 4.5, 5.35364564783, 19.6155896834, 15000, 2.148998902047135e-25, 7.0, 0.017101912116739927, 0.013338877590692423, 00, 0.00022617225315492355,---,13.048756846807802, 1.1862506224370728,Koe, 14,11
1,WOCS2002, 5250.0, 2.10594050384e-20, 4.5, 5.35364564783, 19.6155896834, 14500, 2.5134537024217633e-25, 7.0, 0.018495327188680657, 0.013622629847692136, 00, 0.00024460012392455425,---,13.15275736809916, 1.1957052152817418,Koe, 14,11
1,WOCS2002, 5250.0, 2.10594050384e-20, 4.5, 5.35364564783, 19.6155896834, 14500, 2.5134537024217633e-25, 7.0, 0.018495327188680657, 0.013622629847692136, 00, 0.00024460012392455425,---,13.15275736809916, 1.1957052152817418,Koe, 14,11
1,WOCS2002, 5250.0, 2.10594050384e-20, 4.5, 5.35364564783, 19.6155896834, 14500, 2.5134537024217633e-25, 7.0, 0.018495327188680657, 0.013622629847692136, 00, 0.00024460012392455425,---,13.15275736809916, 1.1957052152817418,Koe, 14,11
1,WOCS2002, 5250.0, 2.10594050384e-20, 4.5, 5.35364564783, 19.6155896834, 14500, 2.5134537024217633e-25, 7.0, 0.018495327188680657, 0.013622629847692136, 00, 0.00024460012392455425,---,13.15275736809916, 1.1957052152817418,Koe, 14,11
1,WOCS2002, 5250.0, 2.10594050384e-20, 4.5, 5.35364564783, 19.6155896834, 14500, 2.5134537024217633e-25, 7.0, 0.018495327188680657, 0.013622629847692136, 00, 0.00024460012392455425,---,13.15275736809916, 1.1957052152817418,Koe, 14,11
4,WOCS2002, 5250.0, 2.1194762034195e-20, 3.5, 5.370823073068094, 19.741666715745918, 14500, 2.5134537024217633e-25, 7.0, 0.018495327188680657, 0.013622629847692136, 00, 0.00024460012392455425,---,11.75494354295968, 1.0686312311781527,Koe, 14,11
