name,model_to_fit,dir_obs,distance,distance_err,free_para,filters_to_drop,wavelength_range,type,N_points,N_Np,Te_blackbody,log_sf_blackbody,model_file_name,Te,logg,MH,alpha,sf,R,L,chi2,chi2_r,vgf2,vgfb2,Te_median,Te_error_lower,Te_error_upper,logg_median,logg_error_lower,logg_error_upper,sf_median,sf_error_lower,sf_error_upper,R_median,R_error_lower,R_error_upper,L_median,L_error_lower,L_error_upper,MH_median,MH_error_lower,MH_error_upper,alpha_median,alpha_error_lower,alpha_error_upper,chi2_median,chi2_r_median,vgf2_median,vgfb2_median,time,cycle
WOCS2002,Kurucz,data/extinction_corrected_flux_files/,831.0,11.0,2,KPNO/Mosaic.I,3000 1000000,single,12,10,5167.325170361763,-19.6546831774552,C:/Users/user/Documents/GitHub/models_and_tools/models/kurucz_synthetic_photometry.nc,5250,4.0,0.0,0.0,2.115031415586053e-20,5.360286189985823,19.664281338913288,58.84340863686081,5.884340863686081,1.0630401577711126,0.0757378509087327,5250,250,250,4.0,0.5,0.5,2.115031415586053e-20,4.8143992784511775e-22,4.926541043680621e-22,5.360286189985823,0.0938052379608527,0.0942715131501832,19.664281338913288,4.081040975547047,4.889962590942329,0.0,,,0.0,,,58.84340863686081,5.884340863686081,1.0630401577711126,0.0757378509087327,2022-09-19 14:28:00,3
WOCS1007,Kurucz,data/extinction_corrected_flux_files/,831.0,11.0,2,KPNO/Mosaic.I GAIA/GAIA3.Gbp,3000 1000000,single,11,9,8663.16801908011,-20.33925453777859,C:/Users/user/Documents/GitHub/models_and_tools/models/kurucz_synthetic_photometry.nc,7500,3.0,0.0,0.0,6.4676343989352836e-21,2.964164471280876,25.044626466951232,20.454031283068705,2.272670142563189,1.34853284670313,0.1930645464214729,7500,250,250,3.0,3.0,1.0,6.4676343989352836e-21,5.690817221152461e-22,1.5065055812916277e-22,2.964164471280876,0.1390596675846827,0.0521308489937921,25.044626466951232,5.222004653153316,4.571539990065735,0.0,,,0.0,,,20.454031283068705,2.272670142563189,1.34853284670313,0.1930645464214729,2022-09-19 14:28:17,3
WOCS2002,Kurucz,data/extinction_corrected_flux_files/,831.0,11.0,2,,0 100000000,single,17,15,6181.457794845878,-19.92986411943384,C:/Users/user/Documents/GitHub/models_and_tools/models/kurucz_synthetic_photometry.nc,5250,4.5,0.0,0.0,2.0899499249285046e-20,5.328408429175438,19.43108882694641,1438.9005889832474,95.92670593221648,94.01519781476948,24.48063230726992,5250,250,250,4.5,0.5,0.5,2.0899499249285052e-20,4.75730683545749e-22,4.868118746853008e-22,5.328408429175438,0.0932473757810183,0.0937108780197218,19.43108882694641,4.032645197429062,4.831974066452021,0.0,,,0.0,,,1438.900588983247,95.92670593221646,94.01519781476948,24.480632307269925,2022-09-19 14:28:47,1
Y1168,Koester,data/extinction_corrected_flux_files/,831.0,11.0,2,KPNO/Mosaic.U 2MASS/2MASS.J 2MASS/2MASS.H 2MASS/2MASS.Ks WISE/WISE.W1 WISE/WISE.W2,0 100000000,single,9,7,50880.26775830952,-24.9006426134399,C:/Users/user/Documents/GitHub/models_and_tools/models/koester_synthetic_photometry.nc,38000,9.5,,,2.086206943661744e-25,0.0168348115663088,0.532372747967365,58.67737483573127,8.38248211939018,8.273578960638314,1.336323268448171,40000,2000,5000,8.75,1.25,0.75,1.9923121641033908e-25,2.570808093427709e-26,9.38947795583532e-27,0.0164516044703743,0.0011194598460007,0.000440762815642,0.6241965943277762,0.1833670883762203,0.4302552917364778,,,,,,,62.477982947152206,8.925426135307458,7.63384050499567,1.2108143891158103,2022-09-19 14:29:04,1
WOCS2002,Kurucz,data/extinction_corrected_flux_files/,831.0,11.0,2,,0 100000000,single,17,15,6181.457794845878,-19.929864119433837,C:/Users/user/Documents/GitHub/models_and_tools/models/kurucz_synthetic_photometry.nc,5250,4.5,0.0,0.0,2.0899499249285055e-20,5.328408429175438,19.431088826946414,1438.9005889832474,95.92670593221649,94.01519781476948,24.48063230726992,5250,250,250,4.5,0.5,0.5,2.0899499249285058e-20,4.75730683545749e-22,4.868118746853008e-22,5.328408429175438,0.09324737578101837,0.0937108780197218,19.431088826946418,4.032645197429062,4.831974066452021,0.0,,,0.0,,,1438.900588983247,95.92670593221646,94.01519781476948,24.480632307269925,2022-09-19 14:41:47,1
