FilterID,wavelength,flux,error
Astrosat/UVIT.F148W,1481.0,1.1398493031198e-14,1.8897120098089e-16
Astrosat/UVIT.F154W,1541.0,1.2233226692285e-14,1.8027549069358e-16
GALEX/GALEX.FUV,1548.8489655268,7.0219196309656e-15,2.9588383627931e-16
Astrosat/UVIT.F169M,1608.0,1.4161326426516e-14,2.4781820936306003e-16
GALEX/GALEX.NUV,2303.3663681246,7.0124764246043e-14,3.8509970387182003e-16
KPNO/Mosaic.B,4357.2765381407,2.8901609009631e-13,2.2253789664713998e-14
GAIA/GAIA3.Gbp,5035.7502754443,1.9433770292099e-13,5.4234466647613e-16
KPNO/Mosaic.V,5366.2407861025,1.8415034572702e-13,1.4179290361058e-14
GAIA/GAIA3.G,5822.3887136979,1.2811317046749e-13,3.3039045371883003e-16
GAIA/GAIA3.Grp,7619.9599926215,7.6751913355497e-14,2.7131253629331004e-16
KPNO/Mosaic.I,8101.6095736941,4.4216559706812e-14,3.4046063632123e-15
GAIA/GAIA3.Grvs,8578.1595190347,5.9452164712262e-14,1.2967115827778e-15
2MASS/2MASS.J,12350.0,2.2151657115346e-14,4.4885346403842e-16
2MASS/2MASS.H,16620.0,8.7176459035886e-15,1.7664346923172002e-16
2MASS/2MASS.Ks,21590.0,3.4105476510903002e-15,5.6542148498495e-17
WISE/WISE.W1,33526.0,6.546873259131701e-16,1.3265764839534e-17
WISE/WISE.W2,46028.0,1.8776318305315002e-16,3.4587256504903002e-18
WISE/WISE.W3,115608.0,5.0030252296156e-18,3.5020469593301e-19
