# All data in vosa format
#
#                  Object                      RA                     DEC                  D (pc)                      Av                FilterID                Obs.Flux               Obs.Error             Point Props                         
#                   (---)                   (deg)                   (deg)                    (pc)                   (---)                   (---)           (erg/s/cm2/A)           (erg/s/cm2/A)                   (---)                   (---) 
#=================================================================================================================================================================================================================================================
                 WOCS2002                132.8492                 11.8304              831.76+-11               0.1736+-0     Astrosat/UVIT.F148W      2.412714773509E-16      5.111042585438E-18                     ---               Veil:3000 
                 WOCS2002                132.8492                 11.8304              831.76+-11               0.1736+-0     Astrosat/UVIT.F154W     2.2206391647933E-16      1.186264867963E-17                     ---               Veil:3000 
                 WOCS2002                132.8492                 11.8304              831.76+-11               0.1736+-0         GALEX/GALEX.FUV     1.8756910123087E-15     4.0527067225489E-17               nofit,bad               Veil:3000 
                 WOCS2002                132.8492                 11.8304              831.76+-11               0.1736+-0     Astrosat/UVIT.F169M     2.2142331120112E-16      1.325599640594E-17                     ---               Veil:3000 
                 WOCS2002                132.8492                 11.8304              831.76+-11               0.1736+-0           KPNO/Mosaic.B     7.5030420532582E-14                       0                     ---               Veil:3000 
                 WOCS2002                132.8492                 11.8304              831.76+-11               0.1736+-0          GAIA/GAIA2.Gbp     8.5795506967966E-14                       0                     ---               Veil:3000 
                 WOCS2002                132.8492                 11.8304              831.76+-11               0.1736+-0           KPNO/Mosaic.V     9.1540122018946E-14                       0                     ---               Veil:3000 
                 WOCS2002                132.8492                 11.8304              831.76+-11               0.1736+-0            GAIA/GAIA2.G     8.1849024357328E-14                       0                     ---               Veil:3000 
                 WOCS2002                132.8492                 11.8304              831.76+-11               0.1736+-0           KPNO/Mosaic.R     7.9849562004705E-14                       0                     ---               Veil:3000 
                 WOCS2002                132.8492                 11.8304              831.76+-11               0.1736+-0          GAIA/GAIA2.Grp     7.3093421098028E-14                       0                     ---               Veil:3000 
                 WOCS2002                132.8492                 11.8304              831.76+-11               0.1736+-0           KPNO/Mosaic.I     4.1028048647253E-14                       0                   nofit               Veil:3000 
                 WOCS2002                132.8492                 11.8304              831.76+-11               0.1736+-0           2MASS/2MASS.J     3.4403732572655E-14     6.9711419153331E-16                     ---               Veil:3000 
                 WOCS2002                132.8492                 11.8304              831.76+-11               0.1736+-0           2MASS/2MASS.H     1.8257020779708E-14      3.363067511187E-16                     ---               Veil:3000 
                 WOCS2002                132.8492                 11.8304              831.76+-11               0.1736+-0          2MASS/2MASS.Ks      7.672697467123E-15     1.2720267943812E-16                     ---               Veil:3000 
                 WOCS2002                132.8492                 11.8304              831.76+-11               0.1736+-0            WISE/WISE.W1     1.5285662920146E-15     2.9565093244227E-17                     ---               Veil:3000 
                 WOCS2002                132.8492                 11.8304              831.76+-11               0.1736+-0            WISE/WISE.W2     4.2787521964626E-16     7.0935775374171E-18                     ---               Veil:3000 
                 WOCS2002                132.8492                 11.8304              831.76+-11               0.1736+-0            WISE/WISE.W3     1.2232665102129E-17     4.2813463513863E-19                     ---               Veil:3000 
                 WOCS2002                132.8492                 11.8304              831.76+-11               0.1736+-0            WISE/WISE.W4     2.3984259507761E-18                       0                   uplim               Veil:3000 
  
