logAge,logL,logTe
8.0,3.174,3.6624
8.0,3.2030000000000003,3.6698
8.0,3.225,3.6766
8.0,3.245,3.6848
8.0,3.259,3.6938
8.0,3.2689999999999997,3.703
8.0,3.2769999999999997,3.7127
8.0,3.283,3.7224
8.0,3.29,3.7324
8.0,3.2960000000000003,3.7427
8.0,3.302,3.7522
8.0,3.3080000000000003,3.7618
8.0,3.315,3.7707
8.0,3.3169999999999997,3.7661
8.0,3.325,3.7588
8.0,3.3289999999999997,3.758
8.0,3.35,3.753
8.0,3.358,3.7466
8.0,3.361,3.7391
8.0,3.363,3.7273
8.0,3.362,3.7177
8.0,3.36,3.7075
8.0,3.3569999999999998,3.6983
8.0,3.352,3.6891
8.0,3.346,3.6817
8.0,3.3369999999999997,3.6737
8.0,3.323,3.6658
8.0,3.307,3.6583
8.0,3.293,3.6517
8.0,3.284,3.642
8.0,3.3080000000000003,3.633
8.0,3.3510000000000004,3.6264
8.0,3.364,3.6247
8.0,3.389,3.622
8.0,3.4019999999999997,3.6209
8.0,3.408,3.6197
8.0,3.446,3.6157
8.0,3.485,3.6119
8.0,3.523,3.6081
8.0,3.562,3.6045
8.0,3.6010000000000004,3.6006
8.0,3.64,3.5967
8.0,3.679,3.5928
8.0,3.72,3.589
8.0,3.762,3.585
8.0,3.804,3.5809
8.0,3.846,3.5768
8.0,3.887,3.5727
8.0,3.928,3.5685
8.0,3.97,3.5642
8.0,4.0089999999999995,3.56
8.0,4.051,3.5555
8.0,4.09,3.5507
8.0,4.131,3.5451
8.0,4.171,3.5398
8.0,4.211,3.5346
8.0,4.251,3.5294
8.0,4.289,3.5243
8.0,4.325,3.5194
9.0,-3.3819999999999997,3.3668
9.0,-3.221,3.3905
9.0,-2.971,3.4245
9.0,-2.952,3.4266
9.0,-2.79,3.4443
9.0,-2.7310000000000003,3.45
9.0,-2.65,3.4578
9.0,-2.434,3.4765
9.0,-2.2319999999999998,3.4929
9.0,-2.03,3.5062
9.0,-2.011,3.5074
9.0,-1.932,3.5131
9.0,-1.926,3.5136
9.0,-1.777,3.5244
9.0,-1.6269999999999998,3.5364
9.0,-1.4709999999999999,3.5511
9.0,-1.44,3.5547
9.0,-1.31,3.5698
9.0,-1.276,3.5747
9.0,-1.148,3.593
9.0,-1.0979999999999999,3.601
9.0,-1.025,3.6126
9.0,-0.987,3.619
9.0,-0.833,3.6471
9.0,-0.825,3.6486
9.0,-0.6859999999999999,3.6754
9.0,-0.6829999999999999,3.6759
9.0,-0.5539999999999999,3.6957
9.0,-0.551,3.6961
9.0,-0.428,3.7149
9.0,-0.309,3.7324
9.0,-0.293,3.7345
9.0,-0.19399999999999998,3.748
9.0,-0.087,3.7618
9.0,-0.084,3.7621
9.0,-0.045,3.7667
9.0,0.022000000000000002,3.7747
