Te,logg,sf,chi2,R,L,vgf2,vgfb2
14750,9.5,1.7256029210642913e-24,80.31194482766108,0.04841723675843926,0.09996155224875249,22.891001348619888,4.25190878886291
14750,9.5,1.6863234030540912e-24,80.63816835279374,0.04786300923229274,0.09768614952199962,23.44775970376008,4.238208925933244
14750,9.5,1.765797376584295e-24,81.35214553787247,0.04897788193687437,0.10228995591365524,23.694287687406504,4.615385913084585
14500,9.5,1.936158322231544e-24,81.74080358753291,0.051286138399168006,0.10474587261240076,23.3382728617867,4.327020496871296
15000,9.5,1.5379452222448537e-24,81.79330153138932,0.045708818961514776,0.09528618655153528,25.275529730888373,4.583193886206864
14500,9.25,1.8069280812464553e-24,81.80633375669326,0.049545019080509206,0.09775453610625572,24.374858291134288,4.382702841043865
14250,9.25,2.074631020267576e-24,81.84024062332723,0.05308844442313176,0.1046946206337255,23.14310183156108,4.352818644775441
15000,9.5,1.502937314968822e-24,81.90211841479217,0.045185594437519114,0.09311720814109896,25.590769969777494,4.325940101914678
14250,9.25,2.027406652754997e-24,81.99547756318805,0.05248074602500971,0.10231148011712443,23.563335435351824,4.404759765077158
14500,9.5,1.8920859781480125e-24,82.23288383257689,0.05069907082750152,0.10236156545833362,24.087381404737858,4.558565704359907
14750,9.5,1.6479379960333197e-24,82.23927895828915,0.047315125896176535,0.09546254128475237,25.27321522328972,4.550954231850256
14500,9.25,1.849016843094814e-24,82.33421091443464,0.050118723362757855,0.10003153176118783,24.66558185640641,4.731797191589206
14000,9.0,2.172405367994159e-24,82.44721072137952,0.054325033149277197,0.10213557844926789,23.748038018251304,4.3918149925077765
14500,9.5,1.9812572430856085e-24,82.60171706945377,0.0518800038929281,0.10718571741460274,23.9349612619972,4.427630338628359
14500,9.25,1.765797376584295e-24,82.609154448346,0.04897788193687437,0.09552937120030146,25.408447856818345,4.382291765806918
14000,9.0,2.223007189461524e-24,82.84614196172623,0.05495408738579683,0.10451462168967743,23.874533683194585,4.599104612217403
14250,9.25,2.1229553846080897e-24,83.06197905110369,0.05370317963705867,0.10713327162398378,24.09240032999849,4.6458494129514385
15000,9.5,1.5737685684348315e-24,83.06483147389858,0.046238102139953705,0.09750568695934309,26.334989742227382,5.20728006588109
15000,9.5,1.4687262849509142e-24,83.29903842784432,0.044668359215122806,0.09099760170697103,27.18863216782221,4.411297783196545
14000,9.0,2.1229553846080897e-24,83.36971417052158,0.05370317963705867,0.09981068884447643,24.935536151723756,4.52373445685376
14250,9.25,1.9812572430856085e-24,83.43562364770234,0.0518800038929281,0.09998258650153403,25.261260236896568,4.7785941705980095
13750,8.75,2.3277742906075733e-24,83.60120472169433,0.056234132519070286,0.10182999040332659,24.63180509617406,4.478656881005503
14250,9.0,1.936158322231544e-24,83.81366361334788,0.051286138399168006,0.09770670497673264,26.142080948757464,4.6958281581910635
14750,9.5,1.8069280812464553e-24,83.85535429956472,0.049545019080509206,0.10467259506715108,25.954006352169593,5.353257112882723
14500,9.5,1.849016843094814e-24,83.98714715909226,0.050118723362757855,0.10003153176118783,26.091693275821545,5.099858823454416
14250,9.0,1.8920859781480125e-24,84.05030624626598,0.05069907082750152,0.09548262884021123,26.615909970428433,4.455573352203702
13750,8.75,2.381995119190042e-24,84.24105025808804,0.05688529308442004,0.10420191558374091,24.991660570395663,4.844245027092166
14500,9.25,1.8920859781480125e-24,84.28737702222166,0.05069907082750152,0.10236156545833362,26.375013361550476,5.45412917951408
13500,8.75,2.67264248178848e-24,84.28808965305927,0.06025595860747433,0.10864255839760759,23.842549072280143,4.524482105913233
13750,8.75,2.2747876787657204e-24,84.29769160820572,0.05559042572707523,0.09951205683170342,25.600613770094956,4.462754595822233
14750,9.25,1.6104263475510833e-24,84.38133013939948,0.0467735141287479,0.09328954855049044,27.857236884864058,4.750418914727084
13250,8.5,2.8637880152345353e-24,84.59457002187307,0.06237348354828217,0.10802603183505169,23.832825810538303,4.47934620033114
13750,9.0,2.494255090621816e-24,84.64507462021818,0.058210321777124076,0.10911280056932583,24.507439034608737,4.618263208410027
14500,9.25,1.7256029210642913e-24,84.65303214617029,0.04841723675843926,0.09335485723143831,27.676899441447016,4.707291278011556
14000,9.0,2.2747876787657204e-24,84.66057804975529,0.05559042572707523,0.10694907996592146,25.408860207601165,5.169635758734708
13500,8.5,2.494255090621816e-24,84.74386583619209,0.058210321777124076,0.10139113487415444,25.483904868718046,4.432545000638889
13500,8.75,2.6118057115114056e-24,84.88488671518972,0.05956621435293906,0.10616955184600703,24.752274673988307,4.718184047890868
14750,9.25,1.5737685684348315e-24,84.88939211923837,0.046238102139953705,0.09116601916970311,28.57184932297125,4.507593671202374
15250,9.5,1.370695122124013e-24,84.89977156701518,0.04315190768280189,0.0907286157551598,29.199966673570525,4.937978547782141
14500,9.5,2.027406652754997e-24,84.91144436907543,0.05248074602500971,0.10968239350294853,25.97304204414972,4.884040282030846
14250,9.0,1.9812572430856085e-24,84.94600791495421,0.0518800038929281,0.09998258650153403,27.030658748235393,5.301575958491368
14750,9.5,1.6104263475510833e-24,85.02854308664348,0.0467735141287479,0.09328954855049044,28.280817659996714,5.168035489934747
13500,8.75,2.7348963224860046e-24,85.03400072264081,0.060953689724056036,0.11117316867172485,24.266579616555266,4.665424970813864
13500,8.5,2.5523537551939108e-24,85.03728491622202,0.05888436553559637,0.10375283779611537,25.48917173914077,4.7662067512798165
13250,8.5,2.93049420736712e-24,85.13220888428532,0.06309573444806016,0.11054228136070647,24.039573166273367,4.66154181958831
15250,9.5,1.339494291922151e-24,85.14909024627877,0.04265795188018426,0.0886633803217396,29.634107160108748,4.575594881880528
13000,8.25,3.1400811170808805e-24,85.20593263569349,0.06531305526478985,0.10975853948267833,23.76368943940032,4.4647037775577525
14750,9.25,1.6479379960333197e-24,85.22222020657455,0.047315125896176535,0.09546254128475237,28.4859277672546,5.35886106065484
13750,9.0,2.5523537551939108e-24,85.234439097443,0.05888436553559637,0.11165436419071897,24.783660349592097,4.5993839675500725
13250,8.5,2.798600241414344e-24,85.38542402983695,0.0616595001861879,0.10556705914136952,24.94534184386393,4.634595073342124
13750,9.0,2.4374789131141383e-24,85.38760373404804,0.0575439937337521,0.10662908999907318,25.554427059593728,4.9610237397912424
13250,8.25,2.7348963224860046e-24,85.41579003116209,0.060953689724056036,0.10316405949978925,25.53805533919208,4.423696449164916
13000,8.25,3.068604144431926e-24,85.44077597389949,0.06456542290350756,0.10726013010022077,24.339161401654017,4.424854211038191
14000,8.75,2.074631020267576e-24,85.44330301654982,0.05308844442313176,0.0975387201880609,27.515730125620284,4.796447260215255
14000,9.25,2.3277742906075733e-24,85.44764618603195,0.056234132519070286,0.10944024406000177,25.635079257912416,4.766759152176832
14000,9.0,2.074631020267576e-24,85.524507127769,0.05308844442313176,0.0975387201880609,27.34810806428962,4.9720871070881225
14250,9.0,1.849016843094814e-24,85.56431938464885,0.050118723362757855,0.09330917885736277,28.36072558246744,4.556662594633951
14000,8.75,2.027406652754997e-24,85.64988547896175,0.05248074602500971,0.09531846785216673,27.96636939508101,4.489240402984534
14250,9.25,2.172405367994159e-24,85.7578319865699,0.054325033149277197,0.10962872609293349,26.508136808539177,5.3082025405019175
13500,8.5,2.4374789131141383e-24,85.76248605376487,0.0575439937337521,0.09908319087397409,26.782761911197046,4.446485402650739
15000,9.5,1.6104263475510833e-24,85.81403384734827,0.0467735141287479,0.09977688617301705,28.86630457258109,6.223749139087386
12750,8.0,3.4430304790001704e-24,85.86034371798671,0.06839116472818804,0.1113539556692812,23.6830249718328,4.401119934126753
15000,9.5,1.4352939930501783e-24,85.89665509059182,0.04415704473535736,0.08892624340576377,29.98186982559886,4.816311639810821
13000,8.0,2.998754186318128e-24,85.91042060397945,0.0638263486190963,0.10481859145849813,25.357911447145366,4.28507683339356
12750,8.0,3.3646575369642684e-24,85.97883863768541,0.06760829753924266,0.10881923018068455,24.16278003699179,4.2998390344822415
14000,9.25,2.381995119190042e-24,85.9961101458255,0.05688529308442004,0.11198943482009566,25.879601168945022,4.633856435475124
13250,8.25,2.67264248178848e-24,86.00406605099944,0.06025595860747433,0.1008157588080936,26.423538460068595,4.295456823155087
15250,9.5,1.40262271302292e-24,86.0173409490526,0.04365158322404233,0.09284195670158854,30.127714665004692,5.674323955007567
14250,9.5,2.172405367994159e-24,86.03699790134858,0.054325033149277197,0.10962872609293349,26.574535602864362,4.836349169014533
14250,9.25,1.936158322231544e-24,86.07344129683473,0.051286138399168006,0.09770670497673264,28.149856330370152,5.45245387790924
13250,8.25,2.798600241414344e-24,86.16959361216195,0.0616595001861879,0.10556705914136952,25.98620090240754,4.909716558279581
14000,9.25,2.2747876787657204e-24,86.22752365405027,0.05559042572707523,0.10694907996592146,26.71049562752748,5.2157804496025415
13750,8.75,2.223007189461524e-24,86.24060292917697,0.05495408738579683,0.09724688586981017,27.808411436085652,4.773214436047837
12750,7.75,3.2880685808909726e-24,86.27949030360931,0.06683439175690531,0.10634220208832246,24.990333055009557,4.017915504225844
13750,8.75,2.4374789131141383e-24,86.31209938386436,0.0575439937337521,0.10662908999907318,26.77481029281822,5.584126994068642
12500,7.75,3.7752078488801676e-24,86.32263647135565,0.07161434102133797,0.11279892538084184,23.34491530318093,4.196239062114539
13000,8.25,3.2132230023019988e-24,86.33867653224722,0.06606934480080283,0.11231514429559562,24.545965780534335,4.855967215131505
13750,8.5,2.223007189461524e-24,86.38320172291651,0.05495408738579683,0.09724688586981017,28.175781542287087,4.589571872901377
12500,7.5,3.689273626770206e-24,86.43080528742423,0.07079457843846088,0.11023130836597529,23.969048351879874,3.8822183899163405
12750,7.75,3.3646575369642684e-24,86.5175088410481,0.06760829753924266,0.10881923018068455,24.882244064966546,4.374272206027773
13000,8.0,2.93049420736712e-24,86.5200917231809,0.06309573444806016,0.10243262902140479,26.283457941302803,4.15173765542486
14250,9.5,2.1229553846080897e-24,86.58086674025778,0.05370317963705867,0.10713327162398378,27.40435852583597,5.290706320064615
14000,8.75,2.1229553846080897e-24,86.60606841022604,0.05370317963705867,0.09981068884447643,28.42764824841574,5.473825019829006
12500,7.25,3.689273626770206e-24,86.62914678092378,0.07079457843846088,0.11023130836597529,24.21174332971948,3.5769660816345703
14500,9.0,1.7256029210642913e-24,86.63606665869465,0.04841723675843926,0.09335485723143831,29.88696089867201,5.0365676644079365
13000,8.0,3.068604144431926e-24,86.64075593488892,0.06456542290350756,0.10726013010022077,25.763326088100115,4.77671338262969
14750,9.25,1.5379452222448537e-24,86.65584889216353,0.045708818961514776,0.08909082721900448,30.5393732461815,4.606230747250654
15250,9.5,1.3090036793241696e-24,86.67380766201344,0.04216965034288286,0.0866451553861646,31.338791151675167,4.562583879228979
12750,7.5,3.2880685808909726e-24,86.6955280886265,0.06683439175690531,0.10634220208832246,25.481780743249434,3.800391018274101
12250,7.0,4.1394330922057796e-24,86.7298114661,0.07498942093329614,0.11407993497860576,22.994470631926525,3.2854285871468467
13500,8.75,2.5523537551939108e-24,86.73416050105368,0.05888436553559637,0.10375283779611537,26.90580192689319,5.223996248684598
13500,8.5,2.6118057115114056e-24,86.73625732769501,0.05956621435293906,0.10616955184600703,26.89182677687423,5.471964636870052
12250,7.25,4.1394330922057796e-24,86.74400557587816,0.07498942093329614,0.11407993497860576,22.988488348935952,3.673288140469905
14500,9.0,1.6863234030540912e-24,86.7882584557729,0.04786300923229274,0.09122984124357694,30.2516571087714,4.636525629998137
12500,7.0,3.689273626770206e-24,86.80573884785589,0.07079457843846088,0.11023130836597529,24.39962440966361,3.125224125154387
14250,9.5,2.223007189461524e-24,86.83770269380483,0.05495408738579683,0.11218230716356554,27.08118433100908,4.6976525886660845
12500,7.75,3.689273626770206e-24,86.84436697721239,0.07079457843846088,0.11023130836597529,24.25053400578922,4.191189688648436
13500,8.25,2.4374789131141383e-24,86.85302314530757,0.0575439937337521,0.09908319087397409,28.066227858999426,4.5488571711446735
13000,7.75,2.93049420736712e-24,86.90411375326472,0.06309573444806016,0.10243262902140479,26.780929415835253,3.9360343561508198
13250,8.0,2.67264248178848e-24,86.9172773856894,0.06025595860747433,0.1008157588080936,27.491396105681847,4.300689988599534
14500,9.5,1.8069280812464553e-24,86.91755104284788,0.049545019080509206,0.09775453610625572,29.265375646134842,5.929670961762838
12500,6.75,3.7752078488801676e-24,86.92373132512049,0.07161434102133797,0.11279892538084184,24.147364764291893,3.0059060406538234
12250,6.75,4.235852875269242e-24,86.93446343995116,0.07585775750296965,0.11673719802345181,22.786309381787824,3.199623449920765
13000,8.25,2.998754186318128e-24,86.95168538511145,0.0638263486190963,0.10481859145849813,26.181168239975307,4.713003976674281
12250,6.75,4.1394330922057796e-24,86.96082501489556,0.07498942093329614,0.11407993497860576,23.230361655581696,2.852158063973445
12250,6.5,4.235852875269242e-24,86.97625653400763,0.07585775750296965,0.11673719802345181,22.835055890278685,2.692088906444221
12750,7.25,3.2880685808909726e-24,86.97702321110334,0.06683439175690531,0.10634220208832246,25.78627364088389,3.38203321047907
13750,8.5,2.2747876787657204e-24,86.99851848678333,0.05559042572707523,0.09951205683170342,28.532471160717396,5.152509088752698
12250,7.5,4.235852875269242e-24,87.0354386284749,0.07585775750296965,0.11673719802345181,22.766925114144012,4.102624802722004
12500,7.0,3.7752078488801676e-24,87.06799166504933,0.07161434102133797,0.11279892538084184,24.28309309789849,3.58674041018822
12500,7.5,3.605295506370468e-24,87.09131803437946,0.06998419960027377,0.10772213744988837,24.998948451132605,3.7818806886800416
