Temp,SF,ChiSqr
20000,1.6353988745690956e-27,2715.7647451301987
07000,1.1975660555404538e-22,2719.38438584096
26000,1.6353988745690956e-27,2726.402967920031
11000,4.0135720267505816e-26,2735.752708013264
16000,8.101722764665492e-27,2738.752715668712
13000,1.803242852661547e-26,2740.120807864553
19000,1.6353988745690956e-27,2743.6904692035073
23000,7.347622796257651e-28,2748.1964631688456
08000,4.87968863246889e-24,2748.220885172891
24000,1.6353988745690956e-27,2759.502452889046
22000,7.347622796257651e-28,2766.721192319999
15000,3.6399928971640396e-27,2768.954133806959
09000,8.933217392287712e-26,2772.9249577413366
12000,1.803242852661547e-26,2776.1457208729807
18000,3.6399928971640396e-27,2777.682230608348
21000,7.347622796257651e-28,2783.1758085168544
17000,1.6353988745690956e-27,2789.000378204374
10000,8.933217392287712e-26,2791.7841660094364
27000,7.347622796257651e-28,2793.7076628272966
14000,3.6399928971640396e-27,2796.4105054371726
20000,7.347622796257651e-28,2797.7006545644686
07000,5.380500003115066e-23,2798.900902293036
26000,7.347622796257651e-28,2802.3763082466694
11000,1.803242852661547e-26,2806.7946162695675
16000,3.6399928971640396e-27,2808.103454144482
13000,8.101722764665492e-27,2808.7531696728834
19000,7.347622796257651e-28,2810.418028584405
08000,2.192377162055653e-24,2812.4491522108274
24000,7.347622796257651e-28,2817.5123824262846
15000,1.6353988745690956e-27,2821.891987791352
09000,4.0135720267505816e-26,2823.6582953466286
12000,8.101722764665492e-27,2825.137948575128
18000,1.6353988745690956e-27,2825.8089840766647
17000,7.347622796257651e-28,2830.975407096199
10000,4.0135720267505816e-26,2832.2321241688746
14000,1.6353988745690956e-27,2834.328504984116
07000,2.4173848406597176e-23,2835.365260182834
11000,8.101722764665492e-27,2839.0207306188754
16000,1.6353988745690956e-27,2839.6008961254684
13000,3.6399928971640396e-27,2839.8998796234614
08000,9.8500498345758e-25,2841.5718850714884
06000,5.932710560852737e-22,2843.6566505164083
15000,7.347622796257651e-28,2845.8401930718223
09000,1.803242852661547e-26,2846.6301920489977
12000,3.6399928971640396e-27,2847.3015622456705
18000,7.347622796257651e-28,2847.5991539848046
06000,2.665485468919977e-22,2850.2495428424972
10000,1.803242852661547e-26,2850.502611789025
14000,7.347622796257651e-28,2851.448086056831
07000,1.0860978467555232e-23,2851.8973041156746
11000,3.6399928971640396e-27,2853.5616458582485
16000,7.347622796257651e-28,2853.8207161449104
13000,1.6353988745690956e-27,2853.956473520765
08000,4.425492265785818e-25,2854.7099941490455
09000,8.101722764665492e-27,2856.9871018680847
12000,1.6353988745690956e-27,2857.2900679783047
06000,1.1975660555404538e-22,2857.5301291339542
10000,8.101722764665492e-27,2858.7310278987684
07000,4.87968863246889e-24,2859.355023363803
11000,1.6353988745690956e-27,2860.107227940589
13000,7.347622796257651e-28,2860.2845859071713
08000,1.9883129652585536e-25,2860.623598987166
09000,3.6399928971640396e-27,2861.647576528673
06000,5.380500003115066e-23,2861.67291917941
12000,7.347622796257651e-28,2861.783963252939
10000,3.6399928971640396e-27,2862.431926383824
07000,2.192377162055653e-24,2862.7117499836163
11000,7.347622796257651e-28,2863.0506011615607
08000,8.933217392287712e-26,2863.282687177948
06000,2.4173848406597176e-23,2863.710182217993
09000,1.6353988745690956e-27,2863.742928776757
10000,1.6353988745690956e-27,2864.0954935076393
07000,9.8500498345758e-25,2864.221107628868
08000,4.0135720267505816e-26,2864.477820419551
06000,1.0860978467555232e-23,2864.6610163845717
09000,7.347622796257651e-28,2864.6846375027017
10000,7.347622796257651e-28,2864.843073730402
07000,4.425492265785818e-25,2864.899488876754
05000,1.1975660555404538e-22,2864.948398612186
08000,1.803242852661547e-26,2865.014866489192
06000,4.87968863246889e-24,2865.095383099707
05000,5.380500003115066e-23,2865.1345066471895
07000,1.9883129652585536e-25,2865.2043262379816
08000,8.101722764665492e-27,2865.2561719063942
05000,2.4173848406597176e-23,2865.2913972044926
06000,2.192377162055653e-24,2865.291985422622
07000,8.933217392287712e-26,2865.341295569966
05000,2.665485468919977e-22,2865.3421191544194
08000,3.6399928971640396e-27,2865.36459075057
05000,1.0860978467555232e-23,2865.3766770901507
06000,9.8500498345758e-25,2865.380608301936
07000,4.0135720267505816e-26,2865.4028360480793
08000,1.6353988745690956e-27,2865.413302582793
05000,4.87968863246889e-24,2865.4179778792886
06000,4.425492265785818e-25,2865.420484319265
07000,1.803242852661547e-26,2865.4304857517
08000,7.347622796257651e-28,2865.4351882887054
05000,2.192377162055653e-24,2865.437136446486
06000,1.9883129652585536e-25,2865.4384119710853
07000,8.101722764665492e-27,2865.4429084672015
05000,9.8500498345758e-25,2865.4458657856426
06000,8.933217392287712e-26,2865.446469022086
07000,3.6399928971640396e-27,2865.4484898396076
05000,4.425492265785818e-25,2865.4498123155818
06000,4.0135720267505816e-26,2865.4500894296334
07000,1.6353988745690956e-27,2865.4509974770435
05000,1.9883129652585536e-25,2865.4515903944975
06000,1.803242852661547e-26,2865.451716126991
07000,7.347622796257651e-28,2865.4521241248267
05000,8.933217392287712e-26,2865.4523902616043
06000,8.101722764665492e-27,2865.4524469995627
05000,4.0135720267505816e-26,2865.4527498329116
06000,3.6399928971640396e-27,2865.452775374573
05000,1.803242852661547e-26,2865.4529114241395
06000,1.6353988745690956e-27,2865.4529229097657
05000,8.101722764665492e-27,2865.4529840330915
06000,7.347622796257651e-28,2865.4529891954658
05000,3.6399928971640396e-27,2865.4530166569593
05000,1.6353988745690956e-27,2865.45303131475
05000,7.347622796257651e-28,2865.453037900363
05000,5.932710560852737e-22,2870.221011160936
06000,1.320474450499069e-21,2876.5995525131943
05000,1.320474450499069e-21,2900.908830462005
05000,2.9390491185030614e-21,3067.4427454311995
06000,2.9390491185030614e-21,3185.8158885638545
12000,2.192377162055653e-24,3296.9272495740383
15000,4.425492265785818e-25,3304.174576104172
27000,8.933217392287712e-26,3589.136787891484
22000,8.933217392287712e-26,3623.400460866924
35000,1.803242852661547e-26,3749.0493057002695
18000,4.425492265785818e-25,4627.091636607351
60000,8.101722764665492e-27,4788.899730970271
09000,1.0860978467555232e-23,4837.393954721541
28000,4.0135720267505816e-26,5687.432891093721
23000,8.933217392287712e-26,6672.8551586413305
19000,1.9883129652585536e-25,7540.559703218867
40000,4.0135720267505816e-26,7860.785711711456
08000,5.932710560852737e-22,8347.924589854074
29000,4.0135720267505816e-26,8583.533717699103
70000,8.101722764665492e-27,8962.06744576262
11000,4.87968863246889e-24,9957.764566868527
24000,1.9883129652585536e-25,10040.868795983615
13000,2.192377162055653e-24,10724.29142758757
30000,4.0135720267505816e-26,12254.078746304556
16000,9.8500498345758e-25,12634.689286672796
20000,1.9883129652585536e-25,14261.01808055614
80000,8.101722764665492e-27,14410.914176471215
14000,9.8500498345758e-25,15046.25448843924
25000,8.933217392287712e-26,17632.20690173201
10000,2.4173848406597176e-23,19051.720805072833
50000,4.0135720267505816e-26,19188.607799947244
17000,4.425492265785818e-25,20067.40573658613
26000,1.9883129652585536e-25,21713.646488700364
21000,1.9883129652585536e-25,24566.94447332208
27000,1.9883129652585536e-25,30461.975005821227
12000,4.87968863246889e-24,34881.306581954384
15000,9.8500498345758e-25,37322.579405210636
22000,1.9883129652585536e-25,39658.03967074342
35000,4.0135720267505816e-26,40560.22090936031
18000,9.8500498345758e-25,40987.120605047676
09000,2.4173848406597176e-23,43624.767341699786
60000,1.803242852661547e-26,48023.45654204138
28000,8.933217392287712e-26,54301.622239218144
40000,8.933217392287712e-26,58491.07883447682
23000,1.9883129652585536e-25,61029.4969895139
19000,4.425492265785818e-25,66854.73175540393
08000,1.320474450499069e-21,69357.47868555026
29000,8.933217392287712e-26,73672.0127904927
24000,4.425492265785818e-25,74009.4957006005
70000,1.803242852661547e-26,76116.07282956438
11000,1.0860978467555232e-23,81538.95367604756
13000,4.87968863246889e-24,83892.75227269757
16000,2.192377162055653e-24,93857.59168960087
30000,8.933217392287712e-26,97115.87019630296
20000,4.425492265785818e-25,109639.4398073989
80000,1.803242852661547e-26,110497.76574535674
14000,2.192377162055653e-24,114493.44242228294
50000,8.933217392287712e-26,126574.94095054407
25000,1.9883129652585536e-25,130203.6768719535
10000,5.380500003115066e-23,137805.12281743097
26000,4.425492265785818e-25,143170.2627771637
17000,9.8500498345758e-25,144909.89772277017
21000,4.425492265785818e-25,171562.10267092168
