Te,logg,sf,chi2
22000,9.5,2.437478913113261e-25,62.9549986197382
30000,7.25,9.482893371725102e-26,65.70528535064416
29000,9.5,8.648501543469478e-26,87.41319239402827
30000,9.5,8.648501543469478e-26,90.04785994644328
24000,9.5,1.7256029210636704e-25,70.9723209129195
18750,9.5,4.752705095758498e-25,94.74844804330026
21000,9.5,2.930494207366065e-25,96.59767027554659
30000,8.75,8.849951023161635e-26,100.58738499622004
29000,9.5,9.056092864029224e-26,66.40286099023749
25000,9.5,1.4687262849503858e-25,92.00613832542125
30000,8.5,8.849951023161635e-26,60.40347324065537
30000,8.25,9.056092864029224e-26,79.99895377267548
23000,9.5,2.0274066527542674e-25,86.99118179956554
19500,9.5,3.8631437361609996e-25,60.440420835466
30000,9.25,8.648501543469478e-26,84.11237423498947
21000,9.5,2.8637880152335044e-25,91.33514162199205
29000,9.5,8.849951023161635e-26,73.70570910179956
22000,9.5,2.3819951191891844e-25,76.51516717732213
21000,9.5,2.9987541863170484e-25,47.724282433248284
24000,9.5,1.7256029210636704e-25,63.271822194406546
25000,9.5,1.5379452222443002e-25,74.37612497570544
20000,9.5,3.5232289613686675e-25,95.99371317752609
20000,9.5,3.4430304789989315e-25,87.63535883122806
30000,9.5,8.259254854208238e-26,83.73711628207867
30000,8.0,9.056092864029224e-26,66.56826960407047
24000,9.5,1.7657973765836596e-25,62.84949500785671
22000,9.5,2.3819951191891844e-25,93.02942721926253
24000,9.5,1.806928081245805e-25,72.45533625843406
22000,9.5,2.4942550906209183e-25,56.256502829484276
18000,9.5,5.583941596355442e-25,57.22218261716775
20000,9.5,3.4430304789989315e-25,64.4064549467161
21000,9.5,2.8637880152335044e-25,51.878904737963474
19500,9.5,3.9531279133868556e-25,55.38275800717089
30000,8.0,8.451637613772122e-26,52.147698054134885
30000,8.5,8.451637613772122e-26,52.94704681077285
19000,9.5,4.045208091358224e-25,43.93255894817889
24000,9.5,1.806928081245805e-25,63.967093988717956
21000,9.5,2.930494207366065e-25,72.83807694939284
25000,9.5,1.5379452222443002e-25,93.0200034018215
30000,9.5,8.451637613772122e-26,121.23716391529325
21000,9.5,2.7986002414133367e-25,67.62663371833622
21000,9.5,2.8637880152335044e-25,52.74018417402891
21000,9.5,2.930494207366065e-25,56.30439544531923
24000,9.5,1.7256029210636704e-25,53.41975743360836
18500,9.5,4.976693186235743e-25,67.40618010328089
23000,9.5,2.0274066527542674e-25,91.09168215344822
21000,9.5,2.9987541863170484e-25,79.4228957090348
18750,9.5,4.6445203198015375e-25,78.30969094513945
21000,9.5,2.73489632248502e-25,88.35056992439611
18750,9.5,4.435482471036346e-25,74.12263061982476
19750,9.5,3.5232289613686675e-25,57.352618035925204
19250,9.5,4.13943309220429e-25,88.56767038455592
24000,9.5,1.7256029210636704e-25,62.989938253019716
29000,9.5,9.056092864029224e-26,51.70292352834255
18500,9.5,4.538798129995631e-25,96.46236674066604
21000,9.5,2.672642481787518e-25,67.67318901736186
18500,9.5,4.863409818866719e-25,66.59837639641692
29000,9.5,8.849951023161635e-26,95.2458704196672
25000,9.5,1.402622713022415e-25,99.40758729725398
18000,9.5,5.332622825296111e-25,60.17386389339387
18500,9.5,4.752705095758498e-25,83.12580765336932
21000,9.5,2.8637880152335044e-25,95.14796856055936
24000,9.5,1.7256029210636704e-25,85.62572690712283
18250,9.5,4.976693186235743e-25,80.08197473119276
30000,7.75,8.849951023161635e-26,100.95630089039327
22000,9.5,2.327774290606735e-25,83.21642492375537
30000,8.25,8.849951023161635e-26,98.07988117162752
30000,8.75,8.648501543469478e-26,48.85200182267707
22000,9.5,2.327774290606735e-25,58.48405732925886
22000,9.5,2.4942550906209183e-25,66.97226348625017
30000,9.5,8.259254854208238e-26,102.67901058413076
22000,9.5,2.327774290606735e-25,77.02872260067517
30000,8.75,8.259254854208238e-26,65.79264088523048
18750,9.5,4.976693186235743e-25,79.05886070127009
25000,9.5,1.5029373149682812e-25,50.01159684289776
19500,9.5,3.8631437361609996e-25,80.11986859019227
30000,8.5,8.648501543469478e-26,58.01410109421924
24000,9.5,1.7657973765836596e-25,95.25157257426642
22000,9.5,2.437478913113261e-25,67.49731233946224
18000,9.5,4.976693186235743e-25,81.1286094974212
30000,9.25,8.849951023161635e-26,75.9182375164277
19500,9.5,3.689273626768878e-25,109.85536364529374
22000,9.5,2.437478913113261e-25,97.76398815689701
23000,9.5,2.0746310202668297e-25,73.05896379969822
21000,9.5,2.8637880152335044e-25,89.10101247921835
20000,9.5,3.689273626768878e-25,99.84737060861227
20000,9.5,3.4430304789989315e-25,69.9869862724641
21000,9.5,2.930494207366065e-25,57.40038246618004
20000,9.5,3.689273626768878e-25,56.55293227584583
19500,9.5,3.689273626768878e-25,78.99257656618562
22000,9.5,2.3819951191891844e-25,97.84623384817985
22000,9.5,2.327774290606735e-25,60.161576390845305
25000,9.5,1.5029373149682812e-25,71.22050038707542
21000,9.5,3.14008111707975e-25,93.92002141103887
30000,9.5,8.451637613772122e-26,92.06609277692813
19750,9.5,3.60529550636917e-25,51.4900497225358
24000,9.5,1.7256029210636704e-25,71.61009474888986
20000,9.5,3.2880685808897894e-25,88.96267443453658
21000,9.5,3.0686041444308215e-25,104.489950630874
20000,9.5,3.60529550636917e-25,59.18166023592801
