Te,logg,sf,chi2,R,L,vgf2,vgfb2
13250,6.5,2.7299007189307017e-24,23.615098921758186,0.06095368972405598,0.1031640594997891,14.800393525611042,1.4434515612753016
13000,6.5,2.993276615943163e-24,23.678648429935016,0.06382634861909624,0.10481859145849798,15.085274000516865,1.5244609139999996
13500,6.5,2.4896990460302548e-24,23.68014113887285,0.058210321777124034,0.1013911348741543,14.642761729506375,1.3908063190858289
12750,6.5,3.35851160191882e-24,23.711762388821278,0.06760829753924262,0.10881923018068443,15.429411525396262,1.6748313448980392
13000,6.5,3.0629989850525e-24,23.735866785806458,0.06456542290350752,0.10726013010022065,15.234520640393864,1.6338357823015688
13250,6.5,2.79348827530399e-24,23.823716698350182,0.06165950018618785,0.10556705914136931,15.099866452386514,1.5979931673090535
13750,6.5,2.2706325167136278e-24,23.85022795784201,0.055590425727075184,0.09951205683170322,14.590480590992161,1.3618292610727485
13500,6.5,2.547691586690848e-24,23.87908168928207,0.05888436553559632,0.1037528377961152,14.930976984221987,1.5404559275129395
13750,6.5,2.323522342397876e-24,23.896086655626466,0.056234132519070244,0.10182999040332645,14.723686473907707,1.4620955807634965
14000,6.5,2.119077561752466e-24,23.92687636924044,0.05370317963705863,0.09981068884447626,14.531557441980674,1.3810957876110908
12500,6.5,3.6825347429979596e-24,23.954878574603317,0.07079457843846083,0.11023130836597517,15.88584217206676,1.780265641510811
12750,6.5,3.2820625444069837e-24,23.97813814670364,0.06683439175690525,0.10634220208832228,15.603053898900995,1.6642399615131158
14250,6.5,1.9326217057541132e-24,24.06507539698687,0.05128613839916798,0.09770670497673258,14.449403857664489,1.3279991758930216
13750,6.75,2.2706325167136278e-24,24.120573658823066,0.055590425727075184,0.09951205683170322,14.860872343258656,1.4944388242453974
14000,6.75,2.0708414674367877e-24,24.126647188355093,0.053088444423131716,0.09753872018806078,14.64712293140905,1.4086523659474004
14000,6.5,2.0708414674367877e-24,24.161230357779562,0.053088444423131716,0.09753872018806078,14.680782264436044,1.3695965816975333
13500,6.75,2.4896990460302548e-24,24.16492680531706,0.058210321777124034,0.1013911348741543,15.126474665867999,1.587704015342304
13500,6.75,2.4330265767589305e-24,24.167585719102338,0.057543993733752054,0.09908319087397392,15.040704191866613,1.4983601717968544
12500,6.5,3.7683119963402336e-24,24.20366863435749,0.07161434102133792,0.11279892538084166,16.227560663003523,1.9521547876254368
13250,6.75,2.7299007189307017e-24,24.21752959707806,0.06095368972405598,0.1031640594997891,15.400261077575012,1.6728066559773214
13250,6.75,2.6677605920530992e-24,24.23798760946884,0.06025595860747429,0.10081575880809343,15.330613164934062,1.5871145244528417
13750,6.75,2.2189466104451162e-24,24.256233581094357,0.054954087385796796,0.09724688586981006,14.910106395543794,1.4483154526329967
14250,6.75,1.8886298648900216e-24,24.26877021752823,0.05069907082750147,0.09548262884021103,14.571993069432352,1.358621855996928
13000,6.75,2.993276615943163e-24,24.305740015001255,0.06382634861909624,0.10481859145849798,15.707975649319435,1.7553110450946205
12250,6.5,4.131871940251923e-24,24.315661263013045,0.07498942093329608,0.11407993497860561,16.544132367984865,1.9947135848430213
14500,6.5,1.803627518708624e-24,24.3231437664831,0.04954501908050918,0.09775453610625565,14.57191572192398,1.3886664857813091
14500,6.75,1.7625719440222336e-24,24.401074070402693,0.04897788193687434,0.09552937120030136,14.570797867717511,1.3833028721743306
13250,6.5,2.6677605920530992e-24,24.428102731497383,0.06025595860747429,0.10081575880809343,15.523186469402654,1.6059796655802778
14500,6.5,1.7625719440222336e-24,24.432513591062687,0.04897788193687434,0.09552937120030136,14.600223440677373,1.3419075832424912
14750,6.5,1.644927847222845e-24,24.45637960481919,0.0473151258961765,0.09546254128475223,14.490276871451254,1.3250387458279094
14250,6.5,1.9776382482278688e-24,24.474186868930975,0.05188000389292806,0.09998258650153387,14.942172688575551,1.53726111160035
14000,7.0,2.023703360677972e-24,24.48467758815812,0.05248074602500967,0.09531846785216656,14.920927226665572,1.4813394747611834
13500,6.5,2.4330265767589305e-24,24.50210962621746,0.057543993733752054,0.09908319087397392,15.376222436965731,1.5579538359219558
12750,6.5,3.436741386737151e-24,24.505996562000494,0.068391164728188,0.11135395566928107,16.31661937583101,2.0146198234979584
13000,6.75,2.9251413217162996e-24,24.512064732383987,0.0630957344480601,0.10243262902140464,15.822901066890559,1.7255957846074148
14250,6.75,1.9326217057541132e-24,24.51399932391021,0.05128613839916798,0.09770670497673258,14.899874601501796,1.5191072502913956
14000,6.75,2.023703360677972e-24,24.525930831886495,0.05248074602500967,0.09531846785216656,14.962256472842647,1.4462736768718505
13750,7.0,2.2189466104451162e-24,24.538226175986708,0.054954087385796796,0.09724688586981006,15.190922564857361,1.5810903173361637
12750,6.75,3.2820625444069837e-24,24.557249970576844,0.06683439175690525,0.10634220208832228,16.175599266043154,1.8714136673356778
14500,7.0,1.722450908310962e-24,24.580137631768984,0.048417236758439224,0.09335485723143819,14.671225468181357,1.407849949685843
14750,6.75,1.6074847180928716e-24,24.589874489631157,0.04677351412874786,0.09328954855049026,14.547915271778304,1.337529297861798
14250,7.0,1.845639400579266e-24,24.59810139767189,0.050118723362757814,0.09330917885736262,14.820495345357747,1.4256625756996677
13000,6.5,2.9251413217162996e-24,24.632881294121475,0.0630957344480601,0.10243262902140464,15.947974414363326,1.7290580769652946
15000,6.5,1.5351359879214395e-24,24.638931112785087,0.04570881896151474,0.09528618655153516,14.539524439599418,1.351689696040717
14500,6.75,1.722450908310962e-24,24.663302253392416,0.048417236758439224,0.09335485723143819,14.753002920262308,1.3820978354925624
14250,7.0,1.8886298648900216e-24,24.681313948094434,0.05069907082750147,0.09548262884021103,14.985328885361154,1.5380932054447538
13500,7.0,2.4330265767589305e-24,24.684953713658178,0.057543993733752054,0.09908319087397392,15.555535902666291,1.6999258247631934
14250,6.5,1.8886298648900216e-24,24.690506605138136,0.05069907082750147,0.09548262884021103,14.992162154340734,1.4395775774444035
15000,6.75,1.500192026625595e-24,24.700028866977473,0.045185594437519086,0.09311720814109885,14.526873728103974,1.3436108912690705
12500,6.5,3.5987100183205336e-24,24.730043326154185,0.06998419960027373,0.10772213744988823,16.568097225985323,1.9262590154834627
14750,6.75,1.644927847222845e-24,24.755136733467317,0.0473151258961765,0.09546254128475223,14.791489714355654,1.469555123240123
14000,6.5,2.1684372190406934e-24,24.7551863418803,0.05432503314927716,0.10213557844926775,15.445914802454869,1.72217946816259
14750,6.5,1.6832431388706105e-24,24.773807872604753,0.047863009232292704,0.09768614952199951,14.887068601938957,1.5024610277849944
14000,6.75,2.119077561752466e-24,24.77801255027009,0.05370317963705863,0.09981068884447626,15.383579032852197,1.6970722137790966
14750,7.0,1.570893898638007e-24,24.79895126629813,0.04623810213995367,0.09116601916970297,14.681650650668685,1.3727316753932788
13750,6.5,2.2189466104451162e-24,24.814886489627796,0.054954087385796796,0.09724688586981006,15.468658023051056,1.5750936313264314
14750,7.0,1.6074847180928716e-24,24.82156403508632,0.04677351412874786,0.09328954855049026,14.781508674653407,1.4625600232037008
15000,7.0,1.4660434869996567e-24,24.821851669471176,0.04466835921512277,0.09099760170697087,14.575593177708225,1.3544072576571395
12250,6.5,4.037819052237068e-24,24.82567650174442,0.07413102413014154,0.11148315862531172,16.961883815153254,2.05745671687196
12250,6.5,4.228115601461291e-24,24.84816808995363,0.0758577575029696,0.11673719802345162,17.168548931984393,2.255571558939689
13750,7.0,2.1684372190406934e-24,24.867957227018035,0.05432503314927716,0.0950332764940197,15.435191642817504,1.5930220247405773
13000,6.5,3.134345396767297e-24,24.87681183797303,0.06531305526478981,0.10975853948267819,16.46792424649031,2.0795176755182405
15250,6.5,1.4326722630359055e-24,24.890563887203683,0.04415704473535733,0.09500452368236897,14.658920649336661,1.3951830999292818
13250,7.0,2.6677605920530992e-24,24.896392643706122,0.06025595860747429,0.10081575880809343,15.984755303440046,1.825902863414441
15250,6.75,1.4000606608696755e-24,24.89880944513671,0.0436515832240423,0.09284195670158842,14.59544518696277,1.3720035906224393
14500,7.25,1.6832431388706105e-24,24.906380507490127,0.047863009232292704,0.09122984124357683,14.919213386676262,1.475029359428803
12000,6.5,4.6360365677752006e-24,24.91009969210272,0.07943282347248234,0.11786636615962859,17.422515381187328,2.254449727418198
13500,7.0,2.3776441303835182e-24,24.91062579612464,0.05688529308441999,0.09682778209311609,15.693676577524023,1.6776696993197582
14000,7.0,2.0708414674367877e-24,24.952822627073477,0.053088444423131716,0.09753872018806078,15.473170756068082,1.715237234168383
