Temp,SF,ChiSqr
70000,2.5098435465914132e-27,75.58770512491789
10750,2.5152607271867216e-24,83.20716109497326
14000,2.5134537024217633e-25,84.76177494860785
25000,2.1541269562255268e-26,88.71272739275419
10500,2.932719214139142e-24,89.7680947099866
14500,2.9306122769968656e-25,91.18278709340235
13250,4.645375109645789e-25,92.46371979509162
19000,6.310788392157416e-26,93.00066711783725
10000,6.319865822318002e-24,95.47861281885896
70000,3.412098811649937e-27,98.54818868559974
23000,2.928506853529714e-26,99.15734202651754
17000,1.0003363307141847e-25,99.32586585301894
15000,2.5134537024217633e-25,101.58542125989942
60000,2.926402942650225e-27,102.0247153171239
80000,2.926402942650225e-27,104.52330246946232
18500,1.0003363307141847e-25,107.54099268824528
28000,1.3589668767579416e-26,113.31762131276054
13500,2.9306122769968656e-25,114.26492354725525
10000,7.368775621374067e-24,115.21342896491674
22000,3.414551909173555e-26,115.6915301418371
11000,1.5867941324341255e-24,117.28829867988105
35000,9.996176646517164e-27,118.3088173420833
17250,1.3599438936803913e-25,120.6747520723522
17500,8.579432611526106e-26,124.36981951052307
20000,7.358191607733229e-26,124.63263945986071
32000,8.573268937505855e-27,125.86375387426358
14750,1.8488255771318386e-25,126.23581026209067
36000,6.306254567577012e-27,131.27812986212103
11000,1.8501547735283135e-24,132.80783013730857
45000,6.306254567577012e-27,133.5346044274098
19500,5.412477991023387e-26,134.0064188187568
29000,1.1655244723658957e-26,138.12674754369772
14250,2.155675646282166e-25,140.3570734166766
18750,6.310788392157416e-26,140.76603814457974
21000,3.981265991024789e-26,142.94483161690005
13750,3.9841282861347954e-25,145.46412419123502
30000,1.5845149680782225e-26,146.11227305473327
38000,8.573268937505855e-27,152.36509097429914
11250,1.0010555134551067e-24,156.14154208278438
10750,1.8501547735283135e-24,163.75114543308186
13750,2.5134537024217633e-25,168.14321952440707
38000,5.408589534584713e-27,170.0863125058925
10250,2.5152607271867216e-24,171.409013247213
30000,9.996176646517164e-27,174.17555718559046
11500,1.3609216130203045e-24,178.80252367699808
45000,3.978405752257528e-27,184.1308811363899
20000,4.6420377586606924e-26,184.81353058636455
17250,8.579432611526106e-26,185.16112291824217
10000,5.4202632926221544e-24,187.3046983731746
14250,3.417006770329409e-25,188.92830251260972
21000,6.310788392157416e-26,190.7279972713197
18750,1.0003363307141847e-25,191.20754825323752
35000,6.306254567577012e-27,195.35578833903907
18500,6.310788392157416e-26,197.45117842438407
15000,1.585654140757236e-25,200.12285208637402
10500,2.5152607271867216e-24,203.87869459717007
10250,2.1572254497554892e-24,205.08280112248042
19500,8.579432611526106e-26,205.54831637151096
11750,1.1672009613147952e-24,206.6138103357127
29000,1.8474973356625326e-26,207.16177959499885
11500,1.1672009613147952e-24,208.6271261948135
14500,1.8488255771318386e-25,210.50476375711906
11000,1.3609216130203045e-24,210.9527482983945
80000,1.8461700484343377e-27,211.33066305557688
13250,2.9306122769968656e-25,215.30397288295148
14750,2.9306122769968656e-25,215.7348221765923
70000,2.152579378785665e-27,216.4633887131537
10500,3.986992639065936e-24,216.8906041281476
36000,9.996176646517164e-27,221.28815683251875
17500,1.3599438936803913e-25,222.1238424372095
08500,7.374073335838597e-23,224.88178451178953
32000,1.3589668767579416e-26,232.8793841935688
14000,2.155675646282166e-25,234.3794179589845
08500,8.597950234238102e-23,237.33212298919523
25000,1.8474973356625326e-26,238.2103858570597
12000,1.0010555134551067e-24,240.46318245271092
08250,1.362879160972872e-22,243.02918380736796
08250,1.16887986172331e-22,245.8503166582056
19000,5.412477991023387e-26,246.14973318705952
11250,1.5867941324341255e-24,248.00429007641452
13500,4.645375109645789e-25,249.8154112621237
22000,5.412477991023387e-26,250.16820135814004
23000,2.511647975867549e-26,254.02281011378122
17000,8.579432611526106e-26,255.8976281224576
08000,2.1603284001547024e-22,256.706398923489
60000,2.5098435465914132e-27,256.78546029957505
28000,2.1541269562255268e-26,262.68075923088907
12250,1.0010555134551067e-24,263.1447409813617
11750,1.0010555134551067e-24,263.49031072234754
12000,1.1672009613147952e-24,263.99508807495556
10750,2.932719214139142e-24,273.3005502141925
28000,1.1655244723658957e-26,273.4706233400082
11750,1.3609216130203045e-24,275.1171674114418
13500,2.5134537024217633e-25,276.17416814042707
12500,8.585600716863945e-25,277.125067027469
22000,2.928506853529714e-26,277.6489226697382
10250,2.932719214139142e-24,278.7919399184616
17000,1.585654140757236e-25,282.84048573762107
12250,8.585600716863945e-25,282.87305200959713
17500,7.358191607733229e-26,290.59400164165436
09750,2.932719214139142e-24,290.6522035084141
32000,7.352905303090229e-27,290.77125778348795
11500,1.5867941324341255e-24,291.8457478414625
14750,1.585654140757236e-25,293.4246805931857
23000,4.6420377586606924e-26,295.7186356730329
60000,4.638702805310089e-27,297.9585269096511
36000,5.408589534584713e-27,298.07033647904757
19500,4.6420377586606924e-26,303.0513112598369
19000,1.0003363307141847e-25,305.6573568081068
08000,1.8528160338494098e-22,305.9773344424573
29000,9.996176646517164e-27,307.232443842625
09750,3.419463396385475e-24,307.48466290284864
12750,7.363481712917054e-25,307.70763322261246
10000,8.591773256705229e-24,310.60831499483925
13000,7.363481712917054e-25,311.9463112009955
14250,1.8488255771318386e-25,312.0106718818081
18750,5.412477991023387e-26,312.1467393965897
12750,8.585600716863945e-25,312.8495101074852
21000,3.414551909173555e-26,314.53311036805826
08500,6.324409432586669e-23,316.43265732535383
11000,2.1572254497554892e-24,320.4712257911059
11250,8.585600716863945e-25,321.0656253460796
12000,8.585600716863945e-25,324.4365788236669
10750,1.5867941324341255e-24,325.8500620343828
10250,1.8501547735283135e-24,326.4770829317601
11500,1.0010555134551067e-24,327.4596765869509
14000,3.9841282861347954e-25,328.3363224806108
25000,3.414551909173555e-26,331.2379544189341
08000,2.5188786750828906e-22,334.27676772928646
12500,7.363481712917054e-25,336.09300090039596
12500,1.0010555134551067e-24,338.10625859189093
09500,3.419463396385475e-24,344.5825766496026
10000,4.6487148599891375e-24,346.05449531520964
08250,1.0024954304584244e-22,346.2461941670449
13750,2.155675646282166e-25,347.360144984336
38000,4.638702805310089e-27,348.52370797731214
30000,8.573268937505855e-27,353.70711593199616
13000,6.315325476289971e-25,354.7574505938185
45000,3.412098811649937e-27,365.9780531434395
20000,3.981265991024789e-26,367.87770762578134
17250,7.358191607733229e-26,368.7693130582302
11000,1.1672009613147952e-24,369.9721931446272
10500,2.1572254497554892e-24,376.06320196788363
07500,7.379374859046998e-22,376.1936787191561
09750,2.5152607271867216e-24,376.9629379472485
35000,5.408589534584713e-27,379.95131341916124
13250,5.416369243032585e-25,380.8090591564816
14500,3.417006770329409e-25,382.63211186984586
18500,5.412477991023387e-26,383.60297286555516
09500,3.986992639065936e-24,384.75876902151794
12250,1.1672009613147952e-24,387.1596068773812
15000,1.3599438936803913e-25,387.23569812649345
70000,3.978405752257528e-27,390.1296573101761
12250,7.363481712917054e-25,392.54156550016296
08250,1.5890765751371984e-22,395.0441496717341
13000,8.585600716863945e-25,396.4603992141877
11750,8.585600716863945e-25,397.32394643267946
80000,1.583376613808696e-27,398.79988722736516
09250,3.986992639065936e-24,399.6495216095559
14500,1.585654140757236e-25,399.6752113483363
12750,6.315325476289971e-25,400.75159851186095
80000,3.412098811649937e-27,404.4941418217009
13250,2.5134537024217633e-25,404.62400473082204
70000,1.8461700484343377e-27,405.0594060263232
15000,2.9306122769968656e-25,408.8420921887561
08500,1.0024954304584244e-22,413.8941289788537
09500,2.932719214139142e-24,414.1365842303078
18500,1.1663624156244889e-25,421.1284310698918
07500,8.604131652653001e-22,427.26151995313063
14000,1.8488255771318386e-25,427.8160850831051
25000,1.5845149680782225e-26,431.4271607607668
08000,1.5890765751371984e-22,433.41365751967624
07500,6.328956309442769e-22,437.6866634880531
35000,1.1655244723658957e-26,441.06962779083375
19000,4.6420377586606924e-26,441.3712216724981
15500,3.417006770329409e-25,442.2462681662047
15250,3.417006770329409e-25,442.9597623689877
15250,3.9841282861347954e-25,446.7693352039966
23000,2.1541269562255268e-26,450.0307760943131
60000,2.152579378785665e-27,452.6233735673646
17000,7.358191607733229e-26,452.9114698978788
17250,1.585654140757236e-25,453.54025405290514
09000,4.6487148599891375e-24,454.2994569924065
09250,3.419463396385475e-24,455.2430755539568
12000,1.3609216130203045e-24,456.53189734488853
09250,4.6487148599891375e-24,458.66920297960706
20000,8.579432611526106e-26,460.5187831254531
15750,3.417006770329409e-25,461.8292463845807
16000,2.9306122769968656e-25,467.48777178289606
12500,6.315325476289971e-25,468.51328058490145
08500,5.424160141803394e-23,470.14844392401767
28000,9.996176646517164e-27,472.0823007829166
12000,7.363481712917054e-25,473.0707198590048
12750,1.0010555134551067e-24,473.32104345137407
15750,2.9306122769968656e-25,474.11129425645305
13500,2.155675646282166e-25,475.79203879846096
45000,7.352905303090229e-27,476.13229854867126
13000,5.416369243032585e-25,476.28241578034743
22000,2.511647975867549e-26,477.2416583635367
16250,2.9306122769968656e-25,478.15941121092584
09750,3.986992639065936e-24,486.80727302531795
32000,6.306254567577012e-27,491.7311945343945
17500,6.310788392157416e-26,492.3912587207591
14750,1.3599438936803913e-25,495.7239802881347
16500,2.5134537024217633e-25,496.0701631444562
15500,2.9306122769968656e-25,496.15538998705534
16750,2.5134537024217633e-25,497.97031532965457
11500,8.585600716863945e-25,497.9715060011919
10250,1.5867941324341255e-24,498.6420081994941
09000,3.986992639065936e-24,499.4081855550743
36000,4.638702805310089e-27,499.94453136312615
15500,3.9841282861347954e-25,501.3944819491354
16000,3.417006770329409e-25,504.23217707826166
08250,8.597950234238102e-23,504.4198151652257
30000,1.8474973356625326e-26,505.6640647725261
19500,3.981265991024789e-26,506.159166192935
16500,2.9306122769968656e-25,508.24102138758894
16250,2.5134537024217633e-25,508.79185024769293
13750,4.645375109645789e-25,509.5813786401132
29000,8.573268937505855e-27,510.2212797020166
08750,5.4202632926221544e-24,515.990512548833
18750,4.6420377586606924e-26,516.3858255113114
14250,1.585654140757236e-25,516.4270413430227
21000,2.928506853529714e-26,518.8133269916871
38000,9.996176646517164e-27,519.6308046368285
11250,7.363481712917054e-25,520.8957387830155
10750,1.3609216130203045e-24,523.7177853967665
09750,2.1572254497554892e-24,525.0945308360475
09000,5.4202632926221544e-24,526.678216470066
15250,2.9306122769968656e-25,531.7533317544455
16000,2.5134537024217633e-25,534.5806169920685
11750,1.5867941324341255e-24,538.2755806931976
10000,3.986992639065936e-24,541.0488740897797
16750,2.155675646282166e-25,548.040345733507
09500,2.5152607271867216e-24,550.2976974885011
12750,5.416369243032585e-25,552.2355549654891
18000,1.8488255771318386e-25,552.2392640061875
17750,2.155675646282166e-25,552.7259406616417
08750,4.6487148599891375e-24,553.6828287455875
12250,6.315325476289971e-25,554.8224215103085
17750,1.8488255771318386e-25,554.8750803955033
13750,1.8488255771318386e-25,555.217407985035
38000,3.978405752257528e-27,555.8453948842694
16750,2.9306122769968656e-25,559.8792287391462
30000,7.352905303090229e-27,561.5239700349878
18250,1.8488255771318386e-25,562.0179577838156
11000,1.0010555134551067e-24,564.2364195290328
07500,5.428059792589042e-22,567.8759191466446
15750,2.5134537024217633e-25,571.8839842245784
16250,3.417006770329409e-25,572.0612588656392
11750,7.363481712917054e-25,574.6697631296929
45000,2.926402942650225e-27,574.7938712861345
20000,3.414551909173555e-26,577.3897905049
16500,2.155675646282166e-25,577.5897961516373
