Temp,SF,ChiSqr
35000,8.101722764665492e-27,20.87736926189195
22000,4.0135720267505816e-26,20.893222653071675
60000,3.6399928971640396e-27,20.999841831967327
15000,1.9883129652585536e-25,24.861905312231272
28000,1.803242852661547e-26,36.60025767580514
23000,4.0135720267505816e-26,67.99109641414643
19000,8.933217392287712e-26,104.60571099204344
21000,4.0135720267505816e-26,135.32343439627059
29000,1.803242852661547e-26,165.38551076079133
70000,3.6399928971640396e-27,190.18393812272424
17000,8.933217392287712e-26,209.64449829486216
12000,9.8500498345758e-25,245.11546222555438
25000,1.803242852661547e-26,266.52461381988695
10000,4.87968863246889e-24,290.78411687315463
14000,1.9883129652585536e-25,332.4301512608128
11000,2.192377162055653e-24,353.5993464418432
80000,1.6353988745690956e-27,356.671813451292
20000,4.0135720267505816e-26,357.39496729115916
08000,2.665485468919977e-22,407.8649850620173
30000,8.101722764665492e-27,428.113555713768
30000,1.803242852661547e-26,429.0026632470973
09000,4.87968863246889e-24,461.85638792089503
18000,1.9883129652585536e-25,555.2091546403921
70000,1.6353988745690956e-27,571.118982775039
11000,9.8500498345758e-25,585.8343117910371
29000,8.101722764665492e-27,589.2966464409673
20000,8.933217392287712e-26,599.8814076572091
80000,3.6399928971640396e-27,619.6514189744354
13000,9.8500498345758e-25,636.2396349590905
19000,4.0135720267505816e-26,644.294912693627
14000,4.425492265785818e-25,670.8858435980429
23000,1.803242852661547e-26,699.1305878778642
13000,4.425492265785818e-25,700.963316909749
16000,1.9883129652585536e-25,748.4949705326259
08000,1.1975660555404538e-22,767.6249722754105
28000,8.101722764665492e-27,768.0412003414472
27000,4.0135720267505816e-26,833.4395477732996
60000,1.6353988745690956e-27,839.3538818613251
26000,4.0135720267505816e-26,861.6841148416813
25000,4.0135720267505816e-26,929.8114669330757
35000,3.6399928971640396e-27,933.5573820995312
22000,1.803242852661547e-26,944.960905848033
16000,4.425492265785818e-25,974.8098259896076
15000,8.933217392287712e-26,976.4917076865261
50000,8.101722764665492e-27,999.877265960925
24000,4.0135720267505816e-26,1055.5948731688525
40000,1.803242852661547e-26,1072.3119290666525
24000,8.933217392287712e-26,1084.8324244241808
12000,4.425492265785818e-25,1119.8455431123539
09000,2.192377162055653e-24,1119.9272062202517
10000,1.0860978467555234e-23,1164.8023852951385
17000,1.9883129652585536e-25,1181.5873445392117
21000,1.803242852661547e-26,1194.1421685740015
18000,8.933217392287712e-26,1201.587438713728
40000,8.101722764665492e-27,1245.2331041976577
17000,4.0135720267505816e-26,1289.0153440475885
10000,2.192377162055653e-24,1343.3712192014177
25000,8.101722764665492e-27,1348.8865992473009
14000,8.933217392287712e-26,1415.283133269527
80000,7.347622796257651e-28,1435.71451467972
20000,1.803242852661547e-26,1437.978376198186
27000,1.803242852661547e-26,1476.9825079156494
07000,2.9390491185030614e-21,1479.933144053036
30000,3.6399928971640396e-27,1499.523744972128
26000,1.803242852661547e-26,1601.9368806906214
11000,4.425492265785818e-25,1609.0612245387113
70000,7.347622796257651e-28,1614.2999069234454
29000,3.6399928971640396e-27,1628.3852131807582
13000,1.9883129652585536e-25,1658.3935943563074
16000,8.933217392287712e-26,1658.637923754091
19000,1.803242852661547e-26,1669.7092766185147
07000,1.320474450499069e-21,1685.7341457584514
21000,8.933217392287712e-26,1694.0843071285476
50000,3.6399928971640396e-27,1704.5830235964938
23000,8.101722764665492e-27,1708.7358783084858
08000,5.380500003115066e-23,1722.511738319319
28000,3.6399928971640396e-27,1756.4535420000122
60000,7.347622796257651e-28,1804.3032329459254
24000,1.803242852661547e-26,1848.626138476049
35000,1.6353988745690956e-27,1865.6544261042036
22000,8.101722764665492e-27,1873.078329467089
15000,4.0135720267505816e-26,1893.249507746593
09000,9.8500498345758e-25,1947.0147869553136
12000,1.9883129652585536e-25,1966.6183029454346
40000,3.6399928971640396e-27,1973.243529198134
18000,4.0135720267505816e-26,1991.7210349238735
21000,8.101722764665492e-27,2024.9534078371603
17000,1.803242852661547e-26,2079.989215389344
10000,9.8500498345758e-25,2108.024018852121
25000,3.6399928971640396e-27,2113.815473292242
27000,8.101722764665492e-27,2145.8097047520782
14000,4.0135720267505816e-26,2151.0720957526873
20000,8.101722764665492e-27,2163.585865429997
30000,1.6353988745690956e-27,2197.2471728702394
07000,5.932710560852737e-22,2223.1053099259575
26000,8.101722764665492e-27,2224.61149124092
11000,1.9883129652585536e-25,2254.2678670536
