Te,logg,MH,alpha,sf,chi2
7500,3.0,0.0,0.0,6.467634398935284e-21,20.454031283068705
7750,4.0,0.0,0.0,5.898552676820038e-21,49.45145942427114
7750,4.0,0.0,0.0,5.898552676820038e-21,12.522744524820181
7750,4.0,0.0,0.0,5.898552676820038e-21,36.62584987043843
7750,4.0,0.0,0.0,5.898552676820038e-21,26.969447158325895
7500,3.0,0.0,0.0,6.467634398935284e-21,33.672694783085554
7500,3.0,0.0,0.0,6.467634398935284e-21,28.617841514043104
7500,3.0,0.0,0.0,6.467634398935284e-21,25.90150892104454
7500,3.0,0.0,0.0,6.467634398935284e-21,40.529438701012054
7750,4.0,0.0,0.0,5.898552676820038e-21,19.60134523643251
7500,3.0,0.0,0.0,6.467634398935284e-21,34.99890691385275
7750,4.0,0.0,0.0,5.898552676820038e-21,49.45649565846334
7500,3.0,0.0,0.0,6.467634398935284e-21,41.521488684153084
7500,3.0,0.0,0.0,6.467634398935284e-21,32.50254726875306
7500,3.0,0.0,0.0,6.467634398935284e-21,26.101513872920602
7750,4.0,0.0,0.0,5.898552676820038e-21,19.66905398270278
7750,4.0,0.0,0.0,5.898552676820038e-21,22.776120768588463
7500,3.0,0.0,0.0,6.467634398935284e-21,28.568863583151842
7500,3.0,0.0,0.0,6.467634398935284e-21,27.132400061245004
7750,4.0,0.0,0.0,5.898552676820038e-21,32.6774645100383
7500,3.0,0.0,0.0,6.467634398935284e-21,35.212353457738615
7750,4.0,0.0,0.0,5.898552676820038e-21,39.43971251084078
7750,4.0,0.0,0.0,5.898552676820038e-21,25.51499410034992
7750,4.0,0.0,0.0,5.898552676820038e-21,25.560480291027556
7750,4.0,0.0,0.0,5.898552676820038e-21,29.8009034358933
7750,4.0,0.0,0.0,5.898552676820038e-21,34.56073555233131
7750,4.0,0.0,0.0,5.898552676820038e-21,18.925063616022697
7500,3.0,0.0,0.0,6.467634398935284e-21,20.853119367731228
7750,4.0,0.0,0.0,5.898552676820038e-21,30.200789683330346
7500,3.0,0.0,0.0,6.467634398935284e-21,45.137105634347975
7500,3.0,0.0,0.0,6.467634398935284e-21,35.277135907967455
7500,3.0,0.0,0.0,6.467634398935284e-21,32.83715236481109
7500,3.0,0.0,0.0,6.467634398935284e-21,29.77716278180074
7500,3.0,0.0,0.0,6.467634398935284e-21,33.444281179110085
7500,3.0,0.0,0.0,6.467634398935284e-21,30.540709005729767
7500,3.0,0.0,0.0,6.467634398935284e-21,21.603110280861525
7750,4.0,0.0,0.0,5.898552676820038e-21,20.01657855191573
7500,3.0,0.0,0.0,6.467634398935284e-21,39.97543233679595
7750,4.0,0.0,0.0,5.898552676820038e-21,31.81140315612344
7750,4.0,0.0,0.0,5.898552676820038e-21,37.83371869188823
7500,3.0,0.0,0.0,6.467634398935284e-21,11.441980968630947
7750,4.0,0.0,0.0,5.898552676820038e-21,28.9802206572771
7500,3.0,0.0,0.0,6.467634398935284e-21,14.53642707379522
7500,3.0,0.0,0.0,6.467634398935284e-21,38.85219392560152
7500,3.0,0.0,0.0,6.467634398935284e-21,34.029803117319084
7750,4.0,0.0,0.0,5.898552676820038e-21,25.385153532752867
7500,3.0,0.0,0.0,6.467634398935284e-21,29.642781333258057
7500,3.0,0.0,0.0,6.467634398935284e-21,25.030820756930474
7500,3.0,0.0,0.0,6.467634398935284e-21,30.7664284963974
7500,3.0,0.0,0.0,6.467634398935284e-21,3.705019273871715
7750,4.0,0.0,0.0,5.898552676820038e-21,37.70893858765595
7500,3.0,0.0,0.0,6.467634398935284e-21,28.169857857472923
7500,3.0,0.0,0.0,6.467634398935284e-21,25.055678053474242
7750,4.0,0.0,0.0,5.898552676820038e-21,44.21946932016384
7750,4.0,0.0,0.0,5.898552676820038e-21,29.46883574256861
7500,3.0,0.0,0.0,6.467634398935284e-21,27.7683960407281
7750,4.0,0.0,0.0,5.898552676820038e-21,27.13801028748858
7750,4.0,0.0,0.0,5.898552676820038e-21,64.1553646243946
7750,4.0,0.0,0.0,5.898552676820038e-21,19.40221669673712
7750,4.0,0.0,0.0,5.898552676820038e-21,41.341722598682054
7750,4.0,0.0,0.0,5.898552676820038e-21,29.73669369804744
7750,4.0,0.0,0.0,5.898552676820038e-21,15.872139953756758
7500,3.0,0.0,0.0,6.467634398935284e-21,14.25813826546077
7750,4.0,0.0,0.0,5.898552676820038e-21,15.238350255185985
7750,4.0,0.0,0.0,5.898552676820038e-21,19.478823697418825
7750,4.0,0.0,0.0,5.898552676820038e-21,32.111343540944596
7500,3.0,0.0,0.0,6.467634398935284e-21,55.04031806830909
7750,4.0,0.0,0.0,5.898552676820038e-21,31.829085087214118
7500,3.0,0.0,0.0,6.467634398935284e-21,18.262629310746657
7500,3.0,0.0,0.0,6.467634398935284e-21,22.05485394712156
7750,4.0,0.0,0.0,5.898552676820038e-21,30.271035355054007
7750,4.0,0.0,0.0,5.898552676820038e-21,21.83093242817632
7750,4.0,0.0,0.0,5.898552676820038e-21,43.41144359192955
7500,3.0,0.0,0.0,6.467634398935284e-21,22.463477018389195
7500,3.0,0.0,0.0,6.467634398935284e-21,24.989463436651338
7500,3.0,0.0,0.0,6.467634398935284e-21,13.961471336906483
7500,3.0,0.0,0.0,6.467634398935284e-21,29.1115218158513
7750,4.0,0.0,0.0,5.898552676820038e-21,31.6572370928387
7500,3.0,0.0,0.0,6.467634398935284e-21,21.402048498474763
7500,3.0,0.0,0.0,6.467634398935284e-21,21.196288135878074
7750,4.0,0.0,0.0,5.898552676820038e-21,32.06187840938322
7750,4.0,0.0,0.0,5.898552676820038e-21,30.108929017973445
7500,3.0,0.0,0.0,6.467634398935284e-21,22.823914614339063
7750,4.0,0.0,0.0,5.898552676820038e-21,25.214451873483917
7750,4.0,0.0,0.0,5.898552676820038e-21,25.14537035346364
7750,4.0,0.0,0.0,5.898552676820038e-21,40.40520909013191
7500,3.0,0.0,0.0,6.467634398935284e-21,35.395094784757056
7500,3.0,0.0,0.0,6.467634398935284e-21,32.130012558768364
7500,3.0,0.0,0.0,6.467634398935284e-21,38.777989339342454
7750,4.0,0.0,0.0,5.898552676820038e-21,14.452985384759216
7500,3.0,0.0,0.0,6.467634398935284e-21,39.97097039259557
7500,3.0,0.0,0.0,6.467634398935284e-21,39.18924545276771
7750,4.0,0.0,0.0,5.898552676820038e-21,47.87195780175383
7500,3.0,0.0,0.0,6.467634398935284e-21,36.2326023823123
7500,3.0,0.0,0.0,6.467634398935284e-21,20.582769258188733
7500,3.0,0.0,0.0,6.467634398935284e-21,32.266117440288006
7750,4.0,0.0,0.0,5.898552676820038e-21,22.5356391312146
7750,4.0,0.0,0.0,5.898552676820038e-21,16.841368772177486
7750,4.0,0.0,0.0,5.898552676820038e-21,18.750116677124584
7750,4.0,0.0,0.0,5.898552676820038e-21,31.456811142179273
