Te,logg,MH,alpha,sf,chi2
5250,4.0,0.0,0.0,2.0899499249285058e-20,1503.2844707467143
5250,4.5,0.0,0.0,2.0899499249285058e-20,1485.6536968218345
5250,4.5,0.0,0.0,2.0899499249285058e-20,1488.7420499900588
5250,4.5,0.0,0.0,2.0899499249285058e-20,1407.3403480964182
5250,4.5,0.0,0.0,2.0899499249285058e-20,1514.327095060101
5250,4.5,0.0,0.0,2.0899499249285058e-20,1297.323109245055
5250,4.5,0.0,0.0,2.0899499249285058e-20,1355.2908534473859
5250,4.0,0.0,0.0,2.0899499249285058e-20,1299.0581829685273
5250,4.5,0.0,0.0,2.0899499249285058e-20,1536.9625219998031
5250,4.5,0.0,0.0,2.0899499249285058e-20,1464.600190620029
5250,4.5,0.0,0.0,2.0899499249285058e-20,1520.821400441263
5250,4.5,0.0,0.0,2.0899499249285058e-20,1536.018157265259
5250,4.5,0.0,0.0,2.0899499249285058e-20,1400.3906652598494
5250,4.5,0.0,0.0,2.0899499249285058e-20,1433.843970890717
5250,4.5,0.0,0.0,2.0899499249285058e-20,1513.655101258702
5250,4.5,0.0,0.0,2.0899499249285058e-20,1410.4188493370996
5250,4.5,0.0,0.0,2.0899499249285058e-20,1437.186836246943
5250,4.5,0.0,0.0,2.0899499249285058e-20,1406.5913403848322
5250,4.5,0.0,0.0,2.0899499249285058e-20,1482.0144018273359
5250,4.0,0.0,0.0,2.0899499249285058e-20,1539.834549990507
5250,4.5,0.0,0.0,2.0899499249285058e-20,1428.8719437931481
5250,4.5,0.0,0.0,2.0899499249285058e-20,1450.0092187112814
5250,4.5,0.0,0.0,2.0899499249285058e-20,1370.8550919351446
5250,4.5,0.0,0.0,2.0899499249285058e-20,1391.2939744608616
5250,4.5,0.0,0.0,2.0899499249285058e-20,1383.9958957948943
5250,4.0,0.0,0.0,2.0899499249285058e-20,1433.4498107259005
5250,4.5,0.0,0.0,2.0899499249285058e-20,1322.5780885605107
5250,4.5,0.0,0.0,2.0899499249285058e-20,1342.2065006211467
5250,4.5,0.0,0.0,2.0899499249285058e-20,1477.3926231490652
5250,4.5,0.0,0.0,2.0899499249285058e-20,1400.0734363892664
5250,4.5,0.0,0.0,2.0899499249285058e-20,1306.2700066236152
5250,4.5,0.0,0.0,2.0899499249285058e-20,1410.3340784565132
5250,4.5,0.0,0.0,2.0899499249285058e-20,1411.669079187078
5250,4.5,0.0,0.0,2.0899499249285058e-20,1507.9652119409675
5250,4.5,0.0,0.0,2.0899499249285058e-20,1435.650634858217
5250,4.5,0.0,0.0,2.0899499249285058e-20,1385.8133330684702
5250,4.5,0.0,0.0,2.0899499249285058e-20,1478.1014412613908
5250,4.5,0.0,0.0,2.0899499249285058e-20,1383.0459766192757
5250,4.5,0.0,0.0,2.0899499249285058e-20,1468.652494614997
5250,4.5,0.0,0.0,2.0899499249285058e-20,1521.3936882512328
5250,4.5,0.0,0.0,2.0899499249285058e-20,1393.9355294924867
