Te,logg,MH,alpha,sf,chi2
5250,4.0,0.0,0.0,2.1150314155860534e-20,58.84340863686081
5250,4.0,0.0,0.0,2.1150314155860534e-20,75.6629487070185
5250,4.0,0.0,0.0,2.1150314155860534e-20,84.10221711881738
5250,3.0,0.0,0.0,2.0668874228015416e-20,75.73609663402074
5250,4.0,0.0,0.0,2.1150314155860534e-20,50.00438339832616
5250,4.0,0.0,0.0,2.1150314155860534e-20,78.69162150175194
5250,4.0,0.0,0.0,2.1150314155860534e-20,129.23818558603278
5250,4.0,0.0,0.0,2.1150314155860534e-20,85.57521639142001
5250,4.0,0.0,0.0,2.1150314155860534e-20,134.98973012096502
5250,4.0,0.0,0.0,2.1150314155860534e-20,69.84299368108853
5250,4.0,0.0,0.0,2.1150314155860534e-20,58.17085260149182
5250,3.0,0.0,0.0,2.0668874228015416e-20,65.91401109111813
5250,3.0,0.0,0.0,2.0668874228015416e-20,71.8372893372274
5250,4.0,0.0,0.0,2.1150314155860534e-20,50.29647467095996
5250,4.0,0.0,0.0,2.1150314155860534e-20,91.05317387803379
5250,4.0,0.0,0.0,2.1150314155860534e-20,56.403522517852565
5250,3.0,0.0,0.0,2.0668874228015416e-20,60.335403519033335
5250,4.5,0.0,0.0,2.1150314155860534e-20,75.58604561694764
5250,4.0,0.0,0.0,2.1150314155860534e-20,58.36076838390354
5250,4.0,0.0,0.0,2.1150314155860534e-20,68.10133725427691
5250,3.0,0.0,0.0,2.0668874228015416e-20,95.81283685494236
5250,4.0,0.0,0.0,2.1150314155860534e-20,62.06729767698795
5250,3.0,0.0,0.0,2.0668874228015416e-20,65.93610141683655
5250,4.0,0.0,0.0,2.1150314155860534e-20,56.85272302620277
5250,3.0,0.0,0.0,2.0668874228015416e-20,68.88559813383853
5250,4.0,0.0,0.0,2.1150314155860534e-20,71.46397639073638
5250,4.0,0.0,0.0,2.1150314155860534e-20,79.67334582660396
5250,4.0,0.0,0.0,2.1150314155860534e-20,64.8198755259067
5250,4.0,0.0,0.0,2.1150314155860534e-20,83.63905864708408
5250,4.0,0.0,0.0,2.1150314155860534e-20,75.28057946586652
5250,4.0,0.0,0.0,2.1150314155860534e-20,59.54124794275194
5250,4.0,0.0,0.0,2.1150314155860534e-20,58.85719644226023
5250,4.0,0.0,0.0,2.1150314155860534e-20,54.62666234884825
5250,4.5,0.0,0.0,2.1150314155860534e-20,73.53792891845029
