Te,logg,sf,chi2
13250,6.5,2.7299007189307017e-24,23.615098921758186
14500,6.5,1.803627518708624e-24,52.89814076627336
17000,6.5,8.436199722925566e-25,51.39924187557863
15750,6.5,1.276870498468924e-24,33.3074151755669
14500,6.5,1.7625719440222336e-24,34.26646221951038
12250,6.5,4.32660106552828e-24,26.891369376040476
13250,6.5,2.79348827530399e-24,54.46031828738231
16750,6.5,9.686053263548198e-25,35.11743707911329
14500,6.5,1.7625719440222336e-24,37.02705464723894
15750,6.5,1.1916448842569083e-24,39.71986009674237
16250,6.5,1.0867930511053032e-24,37.300648917807784
17000,6.5,9.039550865954989e-25,31.71664240125497
13250,6.5,2.7299007189307017e-24,40.513201828187945
11750,6.5,5.3228821746831904e-24,35.421197457335495
17250,6.5,8.632704057950602e-25,13.560108607992577
13500,6.5,2.4896990460302548e-24,35.32589783238051
15250,6.5,1.3681913893978324e-24,19.030799099123108
12750,6.5,3.2820625444069837e-24,60.79932220999683
12500,6.5,3.8560872585824736e-24,35.409956097241775
13750,6.5,2.2706325167136278e-24,27.55139174512101
14000,6.5,2.1684372190406934e-24,26.886950510108854
12500,6.5,3.7683119963402336e-24,50.216894667720766
12500,6.5,3.6825347429979596e-24,41.1036617370847
14750,6.5,1.644927847222845e-24,37.47686210408981
16500,6.5,1.0142542890202973e-24,46.11731232575404
14500,6.5,1.803627518708624e-24,24.445656332495652
13750,6.5,2.2706325167136278e-24,38.9546568793623
14000,6.5,2.1684372190406934e-24,32.58116381994415
13500,6.5,2.6070349471533892e-24,19.150507166698155
12000,6.5,4.854526239925357e-24,25.174754505398994
12750,6.5,3.2820625444069837e-24,32.730981377465795
13000,6.5,2.993276615943163e-24,18.620800569057256
11750,6.5,5.3228821746831904e-24,47.61161220000223
14000,6.5,1.9776382482278688e-24,19.630417724890062
15250,6.5,1.3681913893978324e-24,26.110703233063408
12250,6.5,3.9459070693305634e-24,11.243303426490474
14500,6.5,1.845639400579266e-24,13.70100887981787
12500,6.5,3.7683119963402336e-24,48.65273115195807
13750,6.5,2.323522342397876e-24,37.689422635345394
16750,6.5,9.686053263548198e-25,45.10322854124802
13000,6.5,2.9251413217162996e-24,35.41558976374062
12750,6.5,3.35851160191882e-24,19.15653840739827
12500,6.5,3.7683119963402336e-24,28.802691414998705
13000,6.5,2.993276615943163e-24,34.21283855266882
12000,6.5,4.854526239925357e-24,20.41173857358316
14250,6.5,1.9326217057541132e-24,29.923861218609296
12750,6.5,3.51679337732938e-24,29.314350297815963
12250,6.5,4.228115601461291e-24,20.305963990186058
13500,6.5,2.3776441303835182e-24,43.48881780233444
12250,6.5,4.037819052237068e-24,31.839775170223433
12000,6.5,4.427380550749549e-24,37.93582316418278
12250,6.5,4.228115601461291e-24,20.78317892601109
13250,6.5,2.7299007189307017e-24,36.83555619423875
14500,6.5,1.7625719440222336e-24,27.409634969481257
12250,6.5,3.9459070693305634e-24,37.63746368130425
12750,6.5,3.134345396767297e-24,42.08593878064291
11750,6.5,5.3228821746831904e-24,36.47644500735746
15250,6.5,1.3681913893978324e-24,41.27600651945963
15000,6.5,1.4326722630359055e-24,20.409233058910274
11750,6.5,5.201718583862604e-24,28.47303675692016
12000,6.5,4.6360365677752006e-24,33.657769997031735
13250,6.5,2.7299007189307017e-24,43.50281809998494
14500,6.5,1.7625719440222336e-24,22.978945091169106
11750,6.5,5.201718583862604e-24,28.07281431102048
17000,6.5,8.632704057950602e-25,45.72285416687657
13250,6.5,2.6070349471533892e-24,41.44513907917118
17000,6.5,8.833785566934512e-25,65.52844238505861
15000,6.5,1.5351359879214395e-24,22.69910268049714
12750,6.5,3.207353679899426e-24,30.597925606760064
13000,6.5,3.134345396767297e-24,22.55960345080682
17250,6.5,8.436199722925566e-25,25.808799289284284
13000,6.5,2.9251413217162996e-24,39.91131174211145
15000,6.5,1.4660434869996567e-24,41.67412356536792
12250,6.5,4.530507491742136e-24,29.844815060658473
13250,6.5,2.7299007189307017e-24,37.16740035636827
12000,6.5,4.6360365677752006e-24,40.22688156180561
15750,6.5,1.219401859347309e-24,24.54707787920078
14000,6.5,2.119077561752466e-24,52.16105628704595
13000,6.5,3.0629989850525e-24,27.232715777358408
11750,6.5,4.854526239925357e-24,32.30918699858272
15250,6.5,1.500192026625595e-24,25.400294303452817
12500,6.5,3.51679337732938e-24,30.450647310554476
13000,6.5,3.0629989850525e-24,45.90791469206615
13000,6.5,3.0629989850525e-24,42.905840790351164
13250,6.5,2.7299007189307017e-24,44.34655288192148
13000,6.5,3.207353679899426e-24,35.22093598598731
12500,6.5,3.6825347429979596e-24,30.398397693613123
12500,6.5,3.7683119963402336e-24,31.22052174652655
12500,6.5,3.9459070693305634e-24,31.104529656836416
12250,6.5,3.9459070693305634e-24,30.59605402946
12750,6.5,3.2820625444069837e-24,40.4631684375217
12750,6.5,3.207353679899426e-24,26.06098073961556
14250,6.5,1.9326217057541132e-24,34.648981339775965
13000,6.5,3.2820625444069837e-24,55.21436884501246
16750,6.5,9.686053263548198e-25,22.96116132709126
11750,6.5,5.201718583862604e-24,53.04232983232704
13750,6.5,2.2706325167136278e-24,21.474566462669657
12750,6.5,3.134345396767297e-24,24.912015664309866
14750,7.25,1.644927847222845e-24,15.104671900404089
12500,6.5,3.8560872585824736e-24,38.500222090021325
