# Excess regression details summary
#
#       np          FilterID    Wavelength                   Flux                  Error            log(nu)          log(nuFnu)          e_log(nuFnu)             weight      exc                   a                  b                 da                   db                nsig               sig_a                sig_b 
#    (---)             (---)           (A)          (erg/s/cm2/A)          (erg/s/cm2/A)              (---)               (---)                 (---)              (---)    (---)               (---)              (---)              (---)                (---)               (---)               (---)                (---) 
#=============================================================================================================================================================================================================================================================================================================================
         0    2MASS/2MASS.Ks         21590    7.8283615302401E-15    1.2978337364711E-16    14.142568063491    -9.7720764835819    0.0071999999999999    19290.123456791      ---                 ---                ---                ---                  ---                 ---                 ---                  --- 
         1      WISE/WISE.W1         33526    1.5464090552331E-15    2.9910202881305E-17    13.951438965148    -10.285293875217    0.0083999999999997    14172.335600908      ---    -47.747517980965      2.68518711219                  0                    0    -2.8484404615461    0.81397117836004    0.057884714806173 
         2      WISE/WISE.W2         46028    4.3137508502704E-16    7.1516004499605E-18    13.813798601403    -10.702122837676    0.0071999999999999    19290.123456791      ---    -49.670901569803    2.8216204328276    1.2012799406978    0.085979446491489    -12.277295993077     0.4311882352473    0.030861520736515 
