# All data in vosa format
#
#                  Object                      RA                     DEC                  D (pc)                      Av                FilterID                Obs.Flux               Obs.Error             Point Props                         
#                   (---)                   (deg)                   (deg)                    (pc)                   (---)                   (---)           (erg/s/cm2/A)           (erg/s/cm2/A)                   (---)                   (---) 
#=================================================================================================================================================================================================================================================
                 WOCS2002                132.8492                 11.8304              831.76+-11           0.1736+-0.017            WISE/WISE.W2     4.2787521964626E-16     7.0935775374171E-18                     ---   Veil:3000,excfil:none 
                 WOCS2002                132.8492                 11.8304              831.76+-11           0.1736+-0.017            WISE/WISE.W3     1.2232665102129E-17     4.2813463513863E-19                     ---   Veil:3000,excfil:none 
                 WOCS2002                132.8492                 11.8304              831.76+-11           0.1736+-0.017            WISE/WISE.W4     2.3984259507761E-18                       0                   uplim   Veil:3000,excfil:none 
                    Y1168                132.8331                11.81147              831.76+-11           0.1736+-0.017     Astrosat/UVIT.F148W     7.4719399497474E-15     2.6839452968695E-16                     ---   Veil:3000,excfil:none 
                    Y1168                132.8331                11.81147              831.76+-11           0.1736+-0.017     Astrosat/UVIT.F154W     6.7400341410383E-15     2.0485742824042E-16                     ---   Veil:3000,excfil:none 
                    Y1168                132.8331                11.81147              831.76+-11           0.1736+-0.017     Astrosat/UVIT.F169M     5.7258488913685E-15     1.7403215678642E-16                     ---   Veil:3000,excfil:none 
                    Y1168                132.8331                11.81147              831.76+-11           0.1736+-0.017         GALEX/GALEX.NUV     2.0891968520929E-15     5.3249966425088E-17               nofit,bad   Veil:3000,excfil:none 
                    Y1168                132.8331                11.81147              831.76+-11           0.1736+-0.017           KPNO/Mosaic.U     1.7040204606129E-16                       0                     ---   Veil:3000,excfil:none 
                    Y1168                132.8331                11.81147              831.76+-11           0.1736+-0.017           KPNO/Mosaic.B     2.7168612876413E-16                       0                     ---   Veil:3000,excfil:none 
                    Y1168                132.8331                11.81147              831.76+-11           0.1736+-0.017          GAIA/GAIA3.Gbp     1.8650323934451E-16      2.459761196517E-17                     ---   Veil:3000,excfil:none 
                    Y1168                132.8331                11.81147              831.76+-11           0.1736+-0.017           KPNO/Mosaic.V     1.3333418500121E-16                       0                     ---   Veil:3000,excfil:none 
                    Y1168                132.8331                11.81147              831.76+-11           0.1736+-0.017            GAIA/GAIA3.G     8.0153120289291E-17     2.8495968261976E-19                     ---   Veil:3000,excfil:none 
                    Y1168                132.8331                11.81147              831.76+-11           0.1736+-0.017          GAIA/GAIA3.Grp     3.5807670747603E-17     2.1810059053315E-18                     ---   Veil:3000,excfil:none 
                    Y1168                132.8331                11.81147              831.76+-11           0.1736+-0.017           2MASS/2MASS.J     2.8960467158648E-16     1.1469637674091E-17                     ---   Veil:3000,excfil:none 
                    Y1168                132.8331                11.81147              831.76+-11           0.1736+-0.017           2MASS/2MASS.H     1.7825015241109E-16     7.8803739603011E-18                     ---   Veil:3000,excfil:none 
                    Y1168                132.8331                11.81147              831.76+-11           0.1736+-0.017          2MASS/2MASS.Ks     7.1408198113562E-17     4.4065485268353E-18                     ---   Veil:3000,excfil:none 
                    Y1168                132.8331                11.81147              831.76+-11           0.1736+-0.017            WISE/WISE.W1     1.7615066143954E-17      4.218259626378E-19                     ---   Veil:3000,excfil:none 
                    Y1168                132.8331                11.81147              831.76+-11           0.1736+-0.017            WISE/WISE.W2     4.1698183393749E-18     1.9202723097476E-19                     ---   Veil:3000,excfil:none 
                    Y1168                132.8331                11.81147              831.76+-11           0.1736+-0.017            WISE/WISE.W3     6.7533784251627E-19                       0                   uplim   Veil:3000,excfil:none 
                    Y1168                132.8331                11.81147              831.76+-11           0.1736+-0.017            WISE/WISE.W4     1.3624680115321E-18                       0                   uplim   Veil:3000,excfil:none 
  
